CABra ID  	 15
ANA ID    	 15030000
Longitude 	 -72.66    	 dd
Latitude  	 -7.634    	 dd
Area      	 39684.0073	 km²
Elevation 	 259.8504  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ERA5 dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   15.149	     19.976	     25.890	     88.903	      0.521	     13.869	    3.669	    3.243	    4.005	    2.910
 1980	     1	     2	    8.905	     20.118	     26.944	     87.866	      0.543	     16.564	    3.362	    3.401	    4.221	    3.097
 1980	     1	     3	    5.731	     20.419	     27.168	     85.726	      0.810	     16.595	    3.607	    4.020	    4.975	    3.754
 1980	     1	     4	    6.198	     20.580	     27.570	     85.372	      0.844	     17.179	    3.638	    4.067	    5.000	    3.780
 1980	     1	     5	    5.667	     20.600	     28.090	     83.968	      0.970	     18.715	    3.698	    4.213	    5.172	    3.940
 1980	     1	     6	    5.349	     20.707	     27.852	     82.521	      0.940	     17.948	    3.920	    4.592	    5.615	    4.331
 1980	     1	     7	    6.100	     20.680	     27.716	     83.487	      0.780	     17.485	    3.757	    4.420	    5.411	    4.166
 1980	     1	     8	    6.058	     20.606	     27.885	     84.018	      0.791	     17.950	    3.692	    4.283	    5.271	    4.037
 1980	     1	     9	    5.701	     20.777	     28.416	     83.612	      0.984	     19.527	    3.830	    4.389	    5.395	    4.137
 1980	     1	    10	    3.844	     20.702	     28.665	     81.568	      1.154	     20.298	    3.997	    4.790	    5.858	    4.549
 1980	     1	    11	    4.212	     20.569	     28.812	     79.877	      1.288	     20.928	    4.081	    5.006	    6.084	    4.750
 1980	     1	    12	    3.858	     20.714	     28.733	     76.888	      1.034	     20.402	    4.217	    5.178	    6.262	    4.907
 1980	     1	    13	    3.153	     20.448	     28.302	     76.303	      0.852	     19.775	    3.996	    5.015	    6.110	    4.774
 1980	     1	    14	    5.465	     20.559	     28.443	     78.825	      0.625	     19.510	    4.005	    4.838	    5.918	    4.601
 1980	     1	    15	    5.040	     20.743	     28.117	     79.808	      0.588	     18.147	    4.250	    4.756	    5.851	    4.546
 1980	     1	    16	    6.151	     20.669	     28.314	     81.321	      0.618	     18.647	    4.011	    4.449	    5.479	    4.238
 1980	     1	    17	    5.875	     20.682	     27.987	     81.695	      0.519	     18.264	    4.285	    4.554	    5.604	    4.330
 1980	     1	    18	    7.127	     20.660	     27.897	     83.935	      0.566	     17.763	    4.343	    4.423	    5.481	    4.210
 1980	     1	    19	    7.480	     20.670	     27.784	     83.766	      0.552	     17.711	    4.242	    4.316	    5.340	    4.086
 1980	     1	    20	    7.810	     20.592	     27.463	     84.019	      0.510	     16.943	    4.156	    4.303	    5.331	    4.084
 1980	     1	    21	    7.692	     20.381	     27.590	     85.496	      0.479	     17.791	    4.036	    4.120	    5.116	    3.901
 1980	     1	    22	    5.321	     20.564	     28.371	     84.986	      0.866	     19.352	    4.111	    4.286	    5.333	    4.068
 1980	     1	    23	    3.621	     20.789	     28.473	     82.098	      1.043	     19.060	    4.236	    4.732	    5.797	    4.483
 1980	     1	    24	    5.035	     20.829	     27.384	     81.564	      0.806	     15.963	    4.231	    4.715	    5.739	    4.456
 1980	     1	    25	    9.124	     20.695	     27.132	     85.373	      0.655	     15.484	    4.089	    3.942	    4.851	    3.679
 1980	     1	    26	    9.344	     20.561	     27.791	     85.273	      0.635	     18.248	    4.092	    3.800	    4.698	    3.529
