CABra ID  	 32
ANA ID    	 15910000
Longitude 	 -67.387   	 dd
Latitude  	 -9.06     	 dd
Area      	 35801.6254	 km²
Elevation 	 217.4242  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ERA5 dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   34.286	     22.317	     27.503	     91.035	      0.391	     12.718	    4.549	    2.896	    3.629	    2.694
 1980	     1	     2	   13.035	     22.060	     28.497	     91.195	      0.426	     14.424	    3.323	    3.194	    3.974	    2.993
 1980	     1	     3	   15.229	     21.905	     28.633	     86.741	      0.454	     14.289	    4.012	    3.606	    4.459	    3.422
 1980	     1	     4	   21.416	     21.951	     29.589	     87.629	      0.219	     17.439	    3.662	    3.595	    4.420	    3.389
 1980	     1	     5	   17.030	     21.982	     27.464	     84.454	      0.481	     14.426	    5.075	    4.268	    5.323	    4.185
 1980	     1	     6	   17.203	     22.386	     28.794	     89.392	      0.775	     14.664	    2.860	    3.561	    4.436	    3.379
 1980	     1	     7	   11.596	     22.051	     29.461	     85.434	      0.287	     14.849	    4.076	    3.724	    4.541	    3.506
 1980	     1	     8	   20.576	     22.131	     28.135	     85.661	      0.374	     12.018	    4.217	    3.718	    4.598	    3.563
 1980	     1	     9	   30.819	     22.250	     27.000	     87.779	      0.767	     12.477	    4.175	    3.070	    3.787	    2.842
 1980	     1	    10	   17.217	     21.652	     26.058	     91.639	      0.786	      9.124	    3.973	    3.146	    3.898	    2.915
 1980	     1	    11	   12.330	     21.856	     29.321	     92.474	      0.590	     14.676	    2.877	    2.431	    2.963	    2.095
 1980	     1	    12	   11.705	     21.643	     28.448	     84.361	      0.328	     14.754	    4.315	    3.746	    4.544	    3.510
 1980	     1	    13	   24.132	     22.210	     30.519	     85.719	      0.694	     20.457	    5.177	    3.659	    4.540	    3.482
 1980	     1	    14	    1.601	     21.965	     28.876	     79.242	      0.822	     15.968	    4.901	    5.068	    6.212	    4.976
 1980	     1	    15	   26.040	     22.622	     29.056	     86.316	      0.710	     16.111	    4.425	    4.017	    4.900	    3.808
 1980	     1	    16	    7.307	     21.933	     26.684	     83.585	      0.417	     13.470	    4.602	    4.030	    4.958	    3.873
 1980	     1	    17	   18.209	     22.320	     28.179	     93.807	      0.904	     15.769	    3.924	    3.320	    4.157	    3.124
 1980	     1	    18	    8.937	     22.100	     27.214	     88.682	      0.617	     13.869	    4.609	    3.920	    4.834	    3.741
 1980	     1	    19	    7.961	     22.181	     29.656	     89.766	      0.754	     15.158	    4.169	    3.442	    4.283	    3.244
 1980	     1	    20	    6.292	     22.239	     31.670	     83.619	      1.165	     24.216	    4.010	    3.891	    4.693	    3.651
 1980	     1	    21	    0.322	     22.802	     29.451	     75.602	      0.920	     17.397	    4.747	    6.072	    7.329	    5.970
 1980	     1	    22	    8.270	     22.415	     28.516	     84.450	      0.874	     14.322	    4.523	    4.354	    5.334	    4.209
 1980	     1	    23	   10.514	     22.570	     29.104	     88.629	      1.059	     16.821	    4.541	    3.648	    4.443	    3.417
 1980	     1	    24	   10.941	     22.498	     30.202	     83.993	      0.836	     18.819	    4.099	    4.229	    5.157	    4.043
 1980	     1	    25	   13.028	     22.095	     29.668	     84.320	      0.506	     17.928	    4.757	    4.718	    5.749	    4.578
 1980	     1	    26	   13.923	     22.716	     28.140	     85.804	      0.291	     13.833	    4.790	    4.436	    5.470	    4.314
 1980	     1	    27	   12.792	     22.253	     28.250	     89.500	      0.327	     14.657	    3.756	    3.450	    4.308	    3.299
 1980	     1	    28	   19.535	     22.163	     30.664	     88.202	      0.650	     19.974	    5.249	    3.630	    4.524	    3.475
