CABra ID  	 3
ANA ID    	 14230000
Longitude 	 -70.907   	 dd
Latitude  	 -4.339    	 dd
Area      	 64557.2174	 km²
Elevation 	 140.6088  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ERA5 dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    9.234	     21.958	     27.356	     87.439	      0.127	     10.788	    4.606	    3.387	    4.212	    3.223
 1980	     1	     2	    4.130	     21.910	     29.418	     89.073	      0.323	     16.892	    2.697	    2.732	    3.416	    2.525
 1980	     1	     3	    1.456	     21.978	     28.531	     84.172	      0.329	     15.444	    3.946	    4.142	    5.135	    4.043
 1980	     1	     4	    5.204	     21.988	     29.204	     87.385	      0.417	     16.517	    4.421	    3.791	    4.714	    3.663
 1980	     1	     5	    3.426	     21.881	     30.157	     84.337	      0.640	     18.336	    3.954	    4.069	    5.028	    3.947
 1980	     1	     6	    1.844	     22.055	     29.835	     83.983	      0.573	     17.491	    3.831	    4.563	    5.560	    4.426
 1980	     1	     7	    3.161	     22.146	     30.341	     85.952	      0.317	     19.380	    3.733	    4.346	    5.321	    4.216
 1980	     1	     8	    1.826	     22.084	     30.461	     83.701	      0.733	     20.674	    4.165	    4.730	    5.868	    4.701
 1980	     1	     9	    0.642	     22.698	     31.047	     79.718	      0.992	     20.609	    4.876	    5.093	    6.234	    5.018
 1980	     1	    10	    0.754	     22.504	     30.652	     77.495	      1.138	     20.231	    4.440	    5.181	    6.259	    5.070
 1980	     1	    11	    0.539	     21.371	     31.474	     80.038	      1.338	     24.095	    3.794	    5.094	    6.132	    4.945
 1980	     1	    12	    0.018	     20.295	     31.295	     73.871	      1.387	     23.194	    4.264	    6.068	    7.211	    5.868
 1980	     1	    13	    0.001	     20.782	     30.457	     72.673	      1.172	     21.990	    3.924	    5.919	    6.903	    5.570
 1980	     1	    14	    0.288	     20.754	     31.075	     75.851	      0.850	     22.362	    4.416	    5.498	    6.553	    5.259
 1980	     1	    15	    0.122	     21.692	     30.892	     76.609	      0.718	     21.105	    4.242	    5.560	    6.681	    5.384
 1980	     1	    16	    0.368	     22.289	     31.800	     77.171	      0.836	     21.943	    4.326	    5.231	    6.359	    5.125
 1980	     1	    17	    0.715	     23.179	     30.915	     75.331	      0.626	     18.564	    4.894	    5.509	    6.654	    5.420
 1980	     1	    18	    5.378	     23.109	     30.382	     79.681	      0.744	     17.209	    4.691	    4.649	    5.693	    4.587
 1980	     1	    19	    3.832	     22.938	     30.747	     80.305	      0.769	     18.297	    3.660	    4.344	    5.292	    4.224
 1980	     1	    20	    0.748	     22.605	     30.614	     79.038	      0.784	     18.435	    5.480	    4.611	    5.604	    4.499
 1980	     1	    21	    1.249	     22.396	     28.515	     80.510	      0.363	     14.919	    4.599	    4.642	    5.630	    4.510
 1980	     1	    22	    6.797	     22.187	     29.491	     86.879	      0.330	     16.721	    3.009	    3.691	    4.585	    3.555
 1980	     1	    23	    4.190	     22.388	     30.917	     83.803	      0.758	     20.531	    5.534	    4.118	    5.106	    4.020
 1980	     1	    24	    2.422	     22.283	     31.254	     79.951	      0.493	     20.574	    5.140	    5.114	    6.227	    5.027
 1980	     1	    25	    1.315	     22.722	     28.790	     81.253	      0.249	     16.546	    4.361	    5.087	    6.248	    5.051
 1980	     1	    26	   12.031	     22.794	     28.906	     87.832	      0.336	     15.253	    5.821	    4.040	    5.054	    3.970
 1980	     1	    27	    4.565	     22.183	     30.926	     84.727	      0.484	     19.832	    4.226	    3.776	    4.698	    3.668
 1980	     1	    28	    0.953	     22.722	     30.578	     79.465	      0.628	     18.292	    3.799	    4.903	    6.024	    4.845
 1980	     1	    29	    1.150	     22.725	     30.806	     80.403	      0.930	     19.422	    3.404	    4.578	    5.595	    4.479
 1980	     1	    30	    1.930	     22.688	     31.476	     80.072	      0.735	     21.210	    3.633	    4.894	    5.923	    4.768
 1980	     1	    31	    2.540	     22.438	     31.809	     77.163	      0.694	     21.827	    4.113	    5.308	    6.454	    5.243
 1980	     2	     1	    0.190	     22.949	     31.798	     76.352	      0.698	     21.237	    4.007	    5.457	    6.634	    5.401
 1980	     2	     2	    0.731	     23.749	     30.716	     75.589	      0.459	     16.458	    4.698	    5.319	    6.483	    5.284
 1980	     2	     3	    8.629	     23.059	     29.031	     79.796	      0.376	     16.348	    6.477	    4.142	    5.106	    4.082
 1980	     2	     4	    5.861	     22.304	     31.384	     84.807	      0.431	     21.369	    3.722	    4.022	    5.017	    3.948
 1980	     2	     5	    0.847	     23.136	     31.714	     79.882	      0.813	     20.231	    4.156	    5.258	    6.484	    5.255
 1980	     2	     6	    1.499	     23.029	     31.489	     77.381	      0.404	     20.385	    4.430	    5.118	    6.199	    5.039
 1980	     2	     7	    3.006	     23.475	     32.700	     78.633	      0.651	     20.149	    4.351	    5.048	    6.234	    5.060
 1980	     2	     8	    0.836	     23.576	     31.836	     75.611	      0.419	     20.196	    4.345	    5.128	    6.218	    5.091
 1980	     2	     9	    2.503	     22.811	     31.747	     75.996	      0.785	     21.671	    4.455	    5.037	    6.212	    5.064
