CABra ID  	 43
ANA ID    	 17730000
Longitude 	 -68.538   	 dd
Latitude  	 0.13      	 dd
Area      	 45937.3986	 km²
Elevation 	 197.8982  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ERA5 dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   13.883	     21.145	     28.546	     85.374	      0.372	     18.315	    3.736	    3.402	    4.178	    3.090
 1980	     1	     2	    6.807	     21.581	     28.337	     82.513	      0.561	     17.004	    4.194	    4.460	    5.544	    4.299
 1980	     1	     3	   11.170	     21.532	     28.733	     86.335	      0.530	     16.316	    4.361	    4.190	    5.189	    4.004
 1980	     1	     4	   11.652	     21.625	     28.960	     86.383	      0.773	     18.203	    4.039	    4.068	    5.013	    3.866
 1980	     1	     5	   10.427	     21.546	     28.374	     84.718	      0.894	     17.077	    5.085	    4.511	    5.541	    4.320
 1980	     1	     6	   11.843	     21.635	     28.316	     84.609	      0.850	     16.808	    4.180	    4.249	    5.209	    4.024
 1980	     1	     7	   10.692	     21.627	     28.428	     85.090	      0.499	     16.901	    3.959	    4.179	    5.136	    3.961
 1980	     1	     8	   10.974	     21.888	     28.175	     85.427	      0.490	     16.013	    4.294	    4.163	    5.164	    3.989
 1980	     1	     9	   13.352	     21.783	     26.456	     85.262	      0.852	     11.491	    4.345	    3.968	    4.926	    3.786
 1980	     1	    10	   17.776	     21.508	     25.152	     90.443	      1.005	      8.840	    4.369	    2.947	    3.635	    2.656
 1980	     1	    11	   17.702	     21.325	     26.970	     92.654	      1.011	     12.660	    3.218	    2.337	    2.897	    2.010
 1980	     1	    12	   16.647	     21.385	     26.991	     87.852	      1.193	     13.458	    3.773	    3.262	    3.961	    2.939
 1980	     1	    13	   17.294	     21.287	     28.369	     87.419	      1.050	     16.805	    4.054	    3.423	    4.179	    3.123
 1980	     1	    14	    8.382	     21.315	     27.681	     83.874	      0.968	     14.821	    4.017	    4.220	    5.130	    3.955
 1980	     1	    15	   14.294	     21.433	     27.377	     87.682	      0.865	     14.016	    3.943	    3.748	    4.571	    3.467
 1980	     1	    16	    9.672	     21.447	     27.227	     87.637	      0.881	     13.941	    3.721	    3.542	    4.347	    3.276
 1980	     1	    17	   14.622	     21.548	     28.502	     87.823	      0.943	     17.181	    3.615	    3.516	    4.313	    3.238
 1980	     1	    18	    7.666	     21.668	     27.830	     84.191	      0.963	     15.062	    4.494	    4.285	    5.242	    4.054
 1980	     1	    19	    9.001	     21.621	     29.051	     85.384	      0.565	     18.274	    4.109	    3.796	    4.644	    3.535
 1980	     1	    20	    6.372	     21.499	     30.001	     82.830	      0.606	     21.393	    4.438	    4.505	    5.569	    4.345
 1980	     1	    21	    5.279	     21.824	     30.249	     80.503	      1.066	     21.405	    4.607	    5.243	    6.471	    5.135
 1980	     1	    22	    5.708	     22.126	     28.515	     81.116	      1.254	     17.143	    5.090	    5.336	    6.493	    5.169
 1980	     1	    23	   12.141	     21.701	     29.130	     85.673	      1.253	     18.759	    4.215	    4.305	    5.259	    4.083
 1980	     1	    24	    7.685	     21.882	     30.048	     83.008	      0.734	     20.269	    4.163	    4.707	    5.708	    4.468
 1980	     1	    25	   10.725	     21.830	     30.722	     80.553	      0.711	     22.175	    5.181	    5.026	    6.166	    4.887
 1980	     1	    26	    5.508	     22.040	     28.775	     79.796	      0.794	     17.215	    5.035	    5.480	    6.729	    5.383
 1980	     1	    27	   13.326	     21.986	     28.377	     84.983	      0.569	     15.597	    4.080	    4.287	    5.276	    4.100
 1980	     1	    28	   14.835	     22.030	     28.154	     85.644	      0.711	     15.395	    4.850	    3.896	    4.812	    3.696
 1980	     1	    29	   12.330	     21.959	     27.279	     87.647	      0.993	     13.365	    4.024	    3.847	    4.749	    3.640
 1980	     1	    30	   14.698	     21.961	     29.459	     88.232	      1.061	     18.062	    4.038	    3.395	    4.167	    3.125
 1980	     1	    31	    5.760	     21.868	     27.968	     82.431	      0.762	     14.748	    4.720	    4.551	    5.526	    4.328
 1980	     2	     1	   14.894	     22.105	     28.614	     86.024	      0.913	     15.992	    4.784	    3.709	    4.565	    3.478
 1980	     2	     2	    9.026	     22.055	     29.733	     85.400	      0.664	     19.016	    3.851	    4.033	    4.933	    3.810
 1980	     2	     3	    9.145	     22.303	     27.961	     83.841	      1.143	     14.617	    4.553	    4.720	    5.812	    4.584
 1980	     2	     4	   15.981	     22.202	     29.163	     87.452	      1.338	     17.294	    4.236	    3.709	    4.537	    3.461
 1980	     2	     5	    7.314	     22.165	     30.602	     82.557	      1.037	     21.654	    4.205	    4.393	    5.311	    4.146
 1980	     2	     6	    4.426	     22.384	     29.899	     79.430	      0.810	     19.604	    5.021	    5.407	    6.588	    5.271
 1980	     2	     7	   10.381	     22.183	     29.289	     82.756	      0.526	     16.573	    4.909	    4.875	    5.991	    4.749
 1980	     2	     8	   13.243	     22.067	     29.086	     84.342	      0.883	     17.551	    5.317	    4.150	    5.113	    3.981
 1980	     2	     9	    9.132	     22.270	     30.203	     83.613	      1.070	     19.385	    4.017	    4.393	    5.377	    4.197
 1980	     2	    10	    7.896	     22.108	     28.097	     81.390	      0.855	     14.764	    4.445	    4.895	    5.932	    4.705
 1980	     2	    11	   15.085	     22.255	     27.926	     88.033	      1.225	     14.631	    4.089	    3.732	    4.578	    3.496
 1980	     2	    12	   10.989	     22.039	     28.158	     86.882	      0.720	     14.877	    3.898	    3.711	    4.537	    3.461
 1980	     2	    13	   12.000	     22.013	     27.611	     86.575	      0.788	     13.480	    4.406	    3.742	    4.605	    3.520
 1980	     2	    14	   17.414	     21.985	     27.934	     87.396	      1.288	     14.752	    4.029	    3.425	    4.207	    3.169
 1980	     2	    15	   13.348	     21.826	     25.699	     86.142	      1.377	      9.486	    4.054	    3.757	    4.570	    3.487
 1980	     2	    16	   23.292	     21.739	     27.122	     92.540	      1.204	     13.411	    3.401	    2.518	    3.092	    2.194
 1980	     2	    17	   14.653	     21.684	     27.665	     88.678	      1.221	     14.773	    3.832	    3.403	    4.176	    3.132
 1980	     2	    18	   12.045	     21.735	     29.361	     87.188	      1.174	     18.355	    4.247	    3.747	    4.555	    3.457
 1980	     2	    19	    8.763	     21.617	     29.691	     81.761	      0.930	     19.402	    4.552	    4.624	    5.600	    4.389
 1980	     2	    20	    8.996	     21.989	     29.483	     82.777	      0.544	     19.046	    4.373	    4.850	    5.900	    4.650
