CABra ID  	 44
ANA ID    	 18200000
Longitude 	 -69.786   	 dd
Latitude  	 0.248     	 dd
Area      	 2046.7731 	 km²
Elevation 	 160.942   	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ERA5 dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    3.412	     21.427	     28.856	     79.048	      1.597	     18.216	    4.531	    4.939	    5.886	    4.639
 1980	     1	     2	    5.543	     21.148	     28.079	     81.170	      1.602	     15.418	    4.661	    4.610	    5.516	    4.312
 1980	     1	     3	    8.726	     21.518	     27.756	     83.821	      2.052	     16.728	    3.966	    3.983	    4.712	    3.603
 1980	     1	     4	    4.388	     21.363	     29.066	     82.057	      2.199	     18.238	    4.266	    4.197	    5.074	    3.911
 1980	     1	     5	    2.449	     21.233	     28.259	     75.670	      2.021	     16.274	    4.476	    4.732	    5.528	    4.326
 1980	     1	     6	    3.697	     21.268	     27.474	     81.976	      1.689	     15.259	    4.442	    4.220	    4.955	    3.816
 1980	     1	     7	   11.095	     21.205	     27.106	     82.537	      1.620	     15.418	    4.975	    3.877	    4.659	    3.548
 1980	     1	     8	   11.351	     20.936	     27.552	     84.936	      1.880	     14.520	    3.560	    3.851	    4.692	    3.566
 1980	     1	     9	    4.853	     21.231	     28.040	     82.020	      1.774	     14.222	    3.737	    3.786	    4.447	    3.362
 1980	     1	    10	    2.901	     21.701	     28.229	     77.240	      1.449	     15.120	    3.964	    3.751	    4.384	    3.323
 1980	     1	    11	    1.496	     21.024	     28.315	     77.231	      1.049	     14.374	    3.698	    3.871	    4.650	    3.564
 1980	     1	    12	    1.714	     20.921	     27.942	     72.310	      1.538	     14.010	    5.807	    3.717	    4.426	    3.359
