CABra ID  	 45
ANA ID    	 18250000
Longitude 	 -69.382   	 dd
Latitude  	 0.206     	 dd
Area      	 4682.4176 	 km²
Elevation 	 144.4732  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ERA5 dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    3.169	     21.963	     28.592	     86.092	      0.575	     13.954	    3.860	    3.880	    4.644	    3.581
 1980	     1	     2	    5.261	     21.828	     28.593	     87.103	      0.692	     15.047	    3.801	    3.537	    4.323	    3.310
 1980	     1	     3	    6.141	     21.930	     26.011	     86.193	      0.981	      9.462	    2.700	    3.785	    4.623	    3.563
 1980	     1	     4	    5.805	     22.013	     28.188	     94.049	      1.236	     15.121	    2.333	    2.490	    3.054	    2.178
 1980	     1	     5	    3.871	     21.574	     28.755	     86.882	      1.161	     15.127	    3.238	    3.833	    4.641	    3.573
 1980	     1	     6	    4.194	     21.615	     28.342	     86.176	      0.957	     15.404	    4.171	    3.907	    4.644	    3.580
 1980	     1	     7	   11.695	     21.766	     27.345	     86.282	      0.778	     14.230	    4.310	    3.892	    4.714	    3.632
 1980	     1	     8	   14.999	     22.031	     28.103	     89.898	      0.762	     12.130	    2.655	    3.541	    4.371	    3.320
 1980	     1	     9	   15.459	     21.978	     25.623	     86.080	      0.966	      8.300	    3.931	    3.157	    3.813	    2.865
 1980	     1	    10	   12.110	     21.493	     28.089	     93.930	      0.801	     14.848	    1.651	    2.231	    2.737	    1.903
 1980	     1	    11	   13.162	     21.485	     26.520	     86.236	      0.474	     11.170	    4.114	    3.738	    4.551	    3.483
 1980	     1	    12	   21.572	     21.543	     27.077	     90.702	      0.866	     12.457	    4.780	    2.842	    3.518	    2.573
 1980	     1	    13	    8.016	     21.472	     27.526	     87.675	      0.696	     12.044	    3.404	    3.182	    3.877	    2.890
 1980	     1	    14	   12.570	     21.430	     29.144	     86.810	      1.193	     17.988	    4.092	    3.111	    3.771	    2.807
 1980	     1	    15	    7.053	     21.834	     30.297	     84.690	      1.095	     21.338	    4.242	    4.535	    5.445	    4.269
 1980	     1	    16	    6.301	     21.385	     29.027	     80.267	      0.767	     16.433	    4.536	    5.311	    6.435	    5.155
 1980	     1	    17	    7.554	     22.166	     28.971	     84.961	      1.129	     15.618	    4.397	    4.133	    5.009	    3.893
 1980	     1	    18	    4.780	     21.854	     26.705	     84.097	      0.943	     12.220	    4.331	    3.995	    4.802	    3.731
 1980	     1	    19	    8.839	     21.676	     30.170	     90.648	      0.644	     18.115	    4.205	    3.093	    3.813	    2.832
 1980	     1	    20	    1.818	     21.435	     29.481	     81.658	      0.993	     16.109	    4.766	    4.539	    5.519	    4.362
 1980	     1	    21	    7.376	     21.923	     29.622	     85.096	      1.532	     18.312	    4.365	    4.152	    4.932	    3.838
 1980	     1	    22	    2.773	     22.413	     29.590	     82.900	      1.395	     16.757	    5.717	    4.687	    5.567	    4.395
 1980	     1	    23	    4.537	     22.146	     28.984	     81.775	      1.520	     15.783	    5.181	    4.321	    5.144	    4.043
 1980	     1	    24	    5.085	     22.451	     30.508	     82.821	      1.369	     18.808	    4.240	    4.087	    4.849	    3.770
 1980	     1	    25	    3.249	     22.462	     29.964	     81.264	      1.022	     16.264	    3.484	    4.843	    5.750	    4.588
 1980	     1	    26	    3.233	     21.899	     29.046	     83.820	      0.986	     16.819	    3.668	    4.195	    5.015	    3.942
 1980	     1	    27	    5.421	     21.863	     29.190	     84.665	      1.036	     16.419	    5.106	    4.237	    5.134	    4.009
 1980	     1	    28	    4.467	     21.736	     27.822	     84.093	      0.945	     12.120	    3.818	    4.182	    5.027	    3.922
 1980	     1	    29	    8.220	     22.264	     29.180	     87.891	      1.316	     17.735	    3.676	    3.175	    3.803	    2.843
 1980	     1	    30	    5.629	     21.582	     28.070	     83.315	      0.674	     14.863	    5.279	    4.465	    5.405	    4.252
 1980	     1	    31	    6.684	     22.160	     28.581	     86.603	      0.959	     12.991	    4.440	    3.720	    4.560	    3.490
 1980	     2	     1	   12.293	     21.835	     28.040	     83.986	      0.993	     15.129	    4.843	    3.401	    4.065	    3.089
 1980	     2	     2	   16.411	     21.832	     29.408	     90.173	      1.144	     18.943	    4.145	    3.805	    4.639	    3.561
 1980	     2	     3	    4.546	     22.069	     27.903	     82.921	      1.081	     11.577	    5.092	    4.734	    5.736	    4.530
 1980	     2	     4	    5.337	     21.882	     29.949	     85.305	      0.985	     18.057	    4.276	    3.078	    3.661	    2.729
 1980	     2	     5	    5.943	     21.796	     30.783	     83.394	      1.486	     21.484	    5.214	    4.581	    5.506	    4.348
 1980	     2	     6	    0.803	     22.877	     30.620	     78.543	      1.534	     19.668	    3.986	    5.480	    6.497	    5.217
 1980	     2	     7	    3.974	     22.084	     29.535	     78.008	      1.364	     19.075	    3.898	    5.034	    6.014	    4.826
 1980	     2	     8	    8.466	     21.960	     30.205	     81.432	      1.456	     19.440	    4.307	    4.795	    5.787	    4.582
 1980	     2	     9	    2.162	     21.701	     29.820	     78.517	      1.558	     18.144	    5.916	    4.976	    5.906	    4.699
 1980	     2	    10	    7.859	     22.026	     28.473	     79.084	      1.238	     13.314	    3.852	    4.705	    5.522	    4.353
 1980	     2	    11	   15.042	     21.534	     28.256	     86.430	      1.678	     18.191	    3.750	    3.510	    4.152	    3.158
 1980	     2	    12	    1.947	     21.909	     28.403	     85.464	      1.384	     16.266	    5.709	    4.518	    5.484	    4.279
 1980	     2	    13	   10.935	     21.961	     25.672	     84.527	      0.716	      7.128	    4.240	    4.110	    4.966	    3.848
 1980	     2	    14	    8.814	     21.545	     29.130	     93.444	      1.421	     17.810	    2.598	    1.984	    2.424	    1.635
 1980	     2	    15	    7.343	     22.363	     29.436	     81.405	      1.604	     20.026	    4.607	    4.532	    5.405	    4.232
 1980	     2	    16	    0.532	     21.663	     29.298	     75.961	      1.171	     18.499	    4.699	    4.979	    6.061	    4.821
 1980	     2	    17	    5.492	     21.526	     29.222	     83.357	      0.793	     18.240	    5.017	    4.644	    5.606	    4.410
 1980	     2	    18	    9.856	     21.758	     29.241	     84.768	      0.969	     19.301	    5.686	    4.530	    5.528	    4.340
 1980	     2	    19	    3.760	     21.997	     30.730	     83.724	      1.221	     22.961	    3.612	    4.769	    5.831	    4.603
 1980	     2	    20	    1.026	     22.700	     28.901	     77.202	      1.404	     14.142	    4.355	    5.714	    6.923	    5.585
 1980	     2	    21	    2.683	     21.910	     31.448	     82.728	      1.187	     24.751	    2.401	    3.703	    4.405	    3.397
 1980	     2	    22	    2.368	     22.233	     28.575	     72.798	      0.536	     15.401	    4.632	    6.171	    7.459	    6.064
 1980	     2	    23	    7.684	     21.439	     27.414	     85.385	      0.645	     14.575	    3.589	    3.836	    4.740	    3.666
 1980	     2	    24	   27.241	     21.427	     28.443	     89.421	      0.914	     15.352	    3.682	    3.615	    4.465	    3.390
 1980	     2	    25	    2.995	     21.737	     29.419	     86.270	      1.396	     18.304	    3.991	    3.892	    4.702	    3.614
 1980	     2	    26	    1.984	     22.668	     30.291	     82.947	      1.339	     19.088	    4.055	    4.652	    5.558	    4.374
 1980	     2	    27	    4.246	     21.750	     28.590	     78.574	      0.895	     14.712	    5.243	    4.856	    5.834	    4.655
 1980	     2	    28	   10.566	     22.015	     29.671	     87.126	      1.093	     21.576	    4.717	    3.761	    4.537	    3.484
 1980	     2	    29	    0.640	     22.262	     29.260	     76.846	      0.636	     17.791	    5.255	    5.286	    6.492	    5.187
 1980	     3	     1	    8.669	     21.691	     27.681	     81.177	      0.913	     14.742	    7.423	    4.398	    5.426	    4.270
 1980	     3	     2	    9.008	     21.452	     27.443	     89.193	      0.905	     13.966	    4.771	    3.687	    4.522	    3.448
 1980	     3	     3	   11.022	     21.579	     28.710	     88.860	      1.063	     16.090	    3.775	    3.520	    4.299	    3.250
 1980	     3	     4	    7.359	     21.112	     29.531	     84.531	      0.827	     18.110	    5.604	    4.083	    4.916	    3.806
 1980	     3	     5	    2.698	     21.246	     28.742	     81.355	      0.968	     16.687	    5.110	    4.545	    5.485	    4.301
 1980	     3	     6	   14.450	     21.958	     29.386	     84.579	      1.608	     15.903	    3.587	    4.201	    5.073	    3.934
 1980	     3	     7	    5.101	     22.198	     29.156	     82.117	      1.298	     15.794	    3.650	    4.194	    4.890	    3.808
 1980	     3	     8	    1.997	     21.470	     29.047	     79.847	      1.018	     18.237	    6.044	    4.077	    4.860	    3.782
 1980	     3	     9	    2.069	     22.138	     28.788	     83.271	      1.045	     16.440	    5.834	    4.550	    5.517	    4.326
 1980	     3	    10	    8.260	     21.851	     28.329	     83.331	      1.052	     14.349	    4.269	    4.135	    5.030	    3.917
 1980	     3	    11	    6.579	     21.426	     29.558	     86.216	      1.157	     17.564	    2.871	    3.680	    4.430	    3.389
 1980	     3	    12	    2.411	     21.838	     30.107	     82.532	      1.030	     17.711	    4.506	    4.492	    5.342	    4.188
 1980	     3	    13	    3.610	     21.573	     28.906	     81.252	      1.042	     17.293	    4.468	    4.534	    5.411	    4.270
 1980	     3	    14	    5.755	     22.117	     28.041	     85.663	      1.032	     14.692	    3.420	    4.341	    5.252	    4.099
 1980	     3	    15	    3.319	     21.726	     30.170	     86.909	      1.035	     18.517	    2.541	    3.708	    4.525	    3.470
 1980	     3	    16	   10.666	     21.941	     28.211	     82.535	      0.760	     14.280	    3.465	    4.713	    5.635	    4.462
 1980	     3	    17	   16.789	     21.594	     27.481	     89.020	      0.240	     11.562	    5.171	    3.612	    4.410	    3.373
 1980	     3	    18	   19.171	     21.515	     27.384	     89.492	      0.277	     13.159	    5.087	    2.927	    3.641	    2.697
 1980	     3	    19	   19.435	     21.721	     24.741	     90.635	      0.461	      7.490	    4.136	    3.272	    4.075	    3.062
 1980	     3	    20	   27.231	     21.347	     23.970	     95.259	      0.585	      5.565	    3.654	    2.005	    2.511	    1.693
 1980	     3	    21	   44.188	     21.071	     30.624	     96.506	      1.113	     19.327	    6.261	    1.608	    1.993	    1.241
 1980	     3	    22	    3.133	     21.783	     29.949	     80.908	      1.212	     16.603	    4.310	    4.972	    5.853	    4.646
 1980	     3	    23	    6.176	     21.835	     28.771	     82.446	      1.220	     15.115	    4.275	    4.333	    5.091	    3.993
 1980	     3	    24	   11.661	     22.137	     29.075	     87.458	      1.520	     15.420	    4.284	    3.903	    4.648	    3.588
 1980	     3	    25	    2.504	     22.599	     30.102	     85.080	      1.561	     17.617	    4.072	    4.024	    4.747	    3.686
 1980	     3	    26	    1.899	     22.156	     29.323	     82.290	      1.306	     16.621	    4.885	    4.570	    5.402	    4.284
 1980	     3	    27	   11.501	     22.360	     30.534	     87.053	      1.390	     19.069	    3.545	    4.262	    5.089	    3.986
 1980	     3	    28	    2.473	     22.447	     30.050	     82.953	      1.583	     18.093	    3.493	    4.906	    5.818	    4.648
 1980	     3	    29	    9.690	     22.205	     30.594	     83.525	      1.528	     20.658	    4.726	    4.671	    5.530	    4.390
 1980	     3	    30	    6.302	     22.038	     28.397	     80.884	      1.046	     14.219	    5.457	    5.265	    6.264	    5.030
 1980	     3	    31	    7.734	     22.174	     27.792	     88.048	      0.945	     12.284	    3.519	    3.648	    4.394	    3.369
 1980	     4	     1	   10.251	     22.199	     27.350	     91.998	      0.590	     11.045	    2.769	    3.187	    3.852	    2.897
 1980	     4	     2	    8.417	     21.623	     27.630	     90.928	      0.753	     10.796	    2.478	    2.858	    3.505	    2.593
 1980	     4	     3	    9.975	     21.830	     27.682	     88.491	      0.589	     14.540	    3.418	    2.860	    3.428	    2.522
 1980	     4	     4	    9.446	     21.776	     28.859	     89.332	      0.579	     15.682	    3.659	    3.605	    4.461	    3.409
 1980	     4	     5	    6.537	     21.899	     28.205	     87.647	      0.462	     11.708	    4.079	    3.919	    4.801	    3.724
 1980	     4	     6	   12.742	     21.650	     27.982	     89.367	      0.614	     11.363	    4.778	    3.022	    3.691	    2.764
 1980	     4	     7	   12.650	     21.737	     26.734	     88.930	      1.079	     10.797	    4.632	    2.969	    3.588	    2.667
 1980	     4	     8	    8.319	     21.737	     30.111	     91.923	      1.045	     20.156	    3.980	    2.832	    3.418	    2.500
 1980	     4	     9	    2.020	     21.907	     29.812	     82.623	      1.560	     19.089	    4.666	    5.035	    6.082	    4.854
 1980	     4	    10	    1.615	     21.536	     30.393	     81.489	      0.960	     19.424	    4.888	    4.862	    5.778	    4.590
 1980	     4	    11	    1.095	     21.388	     28.994	     82.729	      0.673	     17.090	    4.886	    4.903	    5.878	    4.683
 1980	     4	    12	   12.574	     21.509	     28.706	     86.221	      0.354	     14.917	    4.357	    4.242	    5.180	    4.047
 1980	     4	    13	    8.588	     21.449	     28.613	     87.877	      0.454	     15.724	    4.972	    3.706	    4.574	    3.525
 1980	     4	    14	    5.143	     21.177	     29.515	     87.057	      1.038	     18.104	    3.932	    3.891	    4.791	    3.709
 1980	     4	    15	    2.753	     21.486	     29.215	     86.676	      0.655	     17.070	    4.814	    4.571	    5.466	    4.302
 1980	     4	    16	   19.591	     21.443	     28.407	     87.997	      1.118	     14.676	    4.881	    4.247	    5.180	    4.057
 1980	     4	    17	    2.800	     22.310	     29.656	     87.934	      1.447	     15.938	    2.677	    3.774	    4.497	    3.454
 1980	     4	    18	    2.632	     22.478	     30.422	     82.968	      1.365	     19.673	    3.557	    4.166	    4.897	    3.843
 1980	     4	    19	    1.606	     22.308	     31.439	     79.203	      1.180	     21.443	    3.568	    4.990	    5.974	    4.794
 1980	     4	    20	    0.641	     22.492	     31.011	     75.266	      1.259	     20.499	    3.809	    5.450	    6.505	    5.276
 1980	     4	    21	    2.013	     21.922	     30.452	     79.715	      1.115	     18.399	    4.318	    5.210	    6.227	    5.030
 1980	     4	    22	    2.532	     22.931	     30.599	     83.155	      1.231	     19.346	    4.512	    4.713	    5.596	    4.457
 1980	     4	    23	    1.561	     22.613	     28.387	     80.459	      1.066	     14.869	    4.465	    4.899	    5.900	    4.749
 1980	     4	    24	   11.450	     22.442	     30.022	     89.911	      0.600	     18.183	    4.192	    3.743	    4.574	    3.546
 1980	     4	    25	    4.953	     21.646	     28.130	     85.064	      0.869	     14.063	    4.922	    4.510	    5.536	    4.410
 1980	     4	    26	    9.889	     21.976	     28.827	     89.367	      1.246	     15.001	    4.153	    3.571	    4.321	    3.306
 1980	     4	    27	    6.343	     22.415	     28.047	     86.716	      0.921	     11.298	    4.121	    3.870	    4.602	    3.570
 1980	     4	    28	    4.882	     21.157	     29.888	     85.469	      1.351	     17.682	    2.029	    2.982	    3.574	    2.679
