CABra ID  	 48
ANA ID    	 18460000
Longitude 	 -67.009   	 dd
Latitude  	 -0.246    	 dd
Area      	 13564.2435	 km²
Elevation 	 97.9117   	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ERA5 dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   12.211	     21.517	     28.258	     89.012	      0.468	     17.476	    3.712	    3.179	    3.920	    2.897
 1980	     1	     2	    7.928	     21.320	     28.704	     83.120	      0.463	     18.342	    4.235	    4.291	    5.340	    4.127
 1980	     1	     3	   10.692	     21.338	     28.394	     84.105	      0.352	     17.120	    4.848	    4.499	    5.575	    4.330
 1980	     1	     4	   11.110	     21.323	     28.333	     87.454	      0.734	     18.105	    3.945	    4.200	    5.227	    4.028
 1980	     1	     5	   12.425	     21.341	     27.784	     87.287	      0.840	     16.522	    4.430	    4.452	    5.496	    4.254
 1980	     1	     6	   10.316	     21.134	     28.011	     86.630	      0.841	     17.083	    4.769	    4.089	    5.042	    3.858
 1980	     1	     7	   10.224	     21.382	     27.413	     87.043	      0.535	     15.020	    4.004	    4.235	    5.198	    3.989
 1980	     1	     8	   10.949	     21.613	     28.773	     87.777	      0.468	     17.909	    4.304	    3.723	    4.623	    3.497
 1980	     1	     9	    7.252	     21.598	     26.376	     83.961	      0.980	     13.228	    4.132	    4.408	    5.466	    4.248
 1980	     1	    10	   16.504	     21.312	     24.395	     90.069	      1.080	      7.702	    4.962	    3.316	    4.120	    3.056
 1980	     1	    11	   17.056	     21.035	     23.794	     93.991	      1.083	      6.331	    2.947	    2.078	    2.588	    1.732
 1980	     1	    12	   20.502	     20.992	     25.523	     95.283	      1.313	      9.328	    2.963	    1.783	    2.212	    1.405
 1980	     1	    13	   13.614	     21.138	     27.126	     91.412	      1.316	     14.202	    3.233	    2.519	    3.030	    2.113
 1980	     1	    14	    7.976	     21.275	     25.625	     85.759	      1.255	     10.861	    3.701	    3.616	    4.382	    3.282
 1980	     1	    15	   12.162	     21.274	     26.565	     92.633	      1.300	     13.404	    3.425	    2.798	    3.447	    2.470
 1980	     1	    16	   10.028	     21.287	     25.678	     90.006	      1.004	     10.980	    4.110	    3.395	    4.158	    3.087
 1980	     1	    17	   16.627	     21.286	     26.765	     91.739	      0.816	     13.077	    3.704	    2.821	    3.479	    2.498
 1980	     1	    18	    9.588	     21.430	     28.323	     89.449	      0.890	     16.808	    3.486	    3.324	    4.075	    3.020
 1980	     1	    19	    6.091	     21.104	     30.126	     84.655	      0.312	     21.861	    4.358	    4.201	    5.141	    3.957
 1980	     1	    20	    4.636	     21.381	     30.185	     81.385	      0.597	     21.830	    4.994	    5.303	    6.599	    5.229
 1980	     1	    21	    4.408	     21.539	     30.632	     80.119	      0.848	     22.773	    4.589	    5.359	    6.609	    5.249
 1980	     1	    22	    2.909	     22.290	     28.992	     79.520	      1.022	     17.543	    4.978	    5.645	    6.895	    5.508
 1980	     1	    23	   10.471	     21.393	     29.269	     84.969	      0.826	     19.431	    3.944	    4.405	    5.391	    4.204
 1980	     1	    24	    6.834	     21.804	     28.684	     84.221	      0.530	     17.226	    4.379	    4.812	    5.896	    4.617
 1980	     1	    25	    9.567	     21.691	     30.566	     83.466	      0.522	     21.996	    4.459	    4.259	    5.274	    4.085
 1980	     1	    26	    4.186	     21.624	     30.232	     80.213	      0.711	     21.305	    4.909	    5.409	    6.677	    5.325
 1980	     1	    27	    6.820	     21.906	     26.943	     82.213	      0.503	     11.772	    4.874	    5.282	    6.475	    5.143
 1980	     1	    28	   19.223	     21.856	     27.858	     89.712	      0.718	     15.247	    3.465	    3.006	    3.729	    2.743
 1980	     1	    29	   10.005	     21.480	     26.931	     88.295	      1.022	     12.676	    3.768	    3.811	    4.705	    3.585
 1980	     1	    30	   12.229	     21.856	     28.955	     89.734	      1.219	     16.850	    3.804	    3.253	    3.966	    2.934
 1980	     1	    31	    6.652	     21.804	     26.004	     83.301	      1.149	     10.622	    4.955	    4.299	    5.177	    4.012
 1980	     2	     1	   24.179	     22.062	     27.830	     92.346	      1.118	     14.809	    3.594	    2.761	    3.400	    2.448
 1980	     2	     2	   11.015	     22.076	     29.146	     87.320	      0.722	     16.757	    3.677	    3.747	    4.586	    3.489
 1980	     2	     3	    6.043	     21.963	     26.882	     84.986	      1.463	     12.935	    4.172	    4.215	    5.169	    4.019
 1980	     2	     4	   17.029	     22.122	     28.345	     90.506	      1.555	     14.783	    4.099	    3.305	    4.048	    3.012
 1980	     2	     5	   10.340	     22.142	     29.863	     85.172	      1.120	     19.169	    3.675	    3.841	    4.589	    3.504
 1980	     2	     6	    8.019	     22.173	     28.547	     81.246	      0.635	     15.514	    4.741	    4.838	    5.866	    4.628
 1980	     2	     7	   12.398	     21.880	     27.238	     86.489	      0.453	     11.977	    4.043	    3.896	    4.804	    3.693
 1980	     2	     8	   16.833	     21.739	     27.329	     90.400	      0.841	     13.276	    3.603	    3.049	    3.785	    2.796
 1980	     2	     9	   13.202	     21.811	     27.728	     89.784	      0.706	     14.353	    3.327	    3.374	    4.143	    3.098
 1980	     2	    10	   13.357	     21.708	     27.534	     89.057	      0.761	     14.399	    3.776	    3.609	    4.451	    3.368
 1980	     2	    11	   11.083	     21.789	     26.617	     89.021	      1.037	     12.241	    4.000	    3.616	    4.455	    3.365
 1980	     2	    12	   14.886	     21.674	     27.597	     89.957	      0.423	     13.713	    3.875	    3.127	    3.849	    2.838
 1980	     2	    13	   12.490	     21.703	     26.269	     88.644	      0.938	     11.513	    4.210	    3.441	    4.267	    3.208
 1980	     2	    14	   17.705	     21.427	     25.176	     91.535	      1.316	      8.588	    4.101	    2.952	    3.640	    2.653
 1980	     2	    15	   18.918	     21.403	     24.039	     93.669	      1.707	      6.641	    3.687	    2.322	    2.832	    1.951
 1980	     2	    16	   23.074	     21.193	     26.136	     95.873	      1.294	     12.271	    3.241	    1.842	    2.298	    1.487
 1980	     2	    17	   15.497	     21.350	     27.213	     91.282	      1.582	     14.171	    3.729	    3.121	    3.837	    2.809
 1980	     2	    18	   12.980	     21.425	     27.310	     87.331	      1.570	     13.928	    4.149	    3.635	    4.377	    3.287
 1980	     2	    19	   12.939	     21.294	     28.829	     87.605	      1.117	     18.060	    3.894	    3.596	    4.315	    3.239
 1980	     2	    20	    6.478	     21.127	     28.360	     84.541	      0.377	     17.558	    3.827	    4.539	    5.493	    4.267
 1980	     2	    21	   10.431	     21.383	     26.558	     86.503	      0.607	     12.801	    4.675	    4.284	    5.332	    4.116
 1980	     2	    22	   12.107	     21.254	     25.734	     90.579	      0.868	     11.336	    4.054	    3.215	    3.988	    2.947
 1980	     2	    23	   18.513	     21.125	     27.371	     91.034	      0.678	     15.124	    3.996	    2.885	    3.573	    2.580
 1980	     2	    24	   11.626	     21.186	     27.539	     86.840	      0.645	     15.194	    3.903	    3.756	    4.636	    3.506
