CABra ID  	 50
ANA ID    	 18850000
Longitude 	 -63.99    	 dd
Latitude  	 0.229     	 dd
Area      	 6378.2503 	 km²
Elevation 	 199.4907  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ERA5 dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   12.023	     21.600	     27.618	     88.080	      0.374	     14.987	    3.772	    3.508	    4.341	    3.280
 1980	     1	     2	   11.145	     21.515	     28.244	     87.160	      0.457	     16.334	    4.110	    3.714	    4.624	    3.517
 1980	     1	     3	   10.528	     21.477	     27.077	     86.019	      0.501	     13.594	    4.576	    4.037	    4.999	    3.845
 1980	     1	     4	   13.684	     21.449	     27.675	     90.906	      0.865	     16.291	    3.410	    3.401	    4.228	    3.167
 1980	     1	     5	   12.068	     21.318	     27.903	     89.039	      0.816	     16.087	    4.337	    4.028	    4.972	    3.808
 1980	     1	     6	    9.093	     21.323	     27.570	     87.074	      0.790	     15.323	    4.864	    4.001	    4.912	    3.758
 1980	     1	     7	   11.233	     21.391	     27.373	     88.430	      0.508	     14.181	    3.803	    3.822	    4.697	    3.568
 1980	     1	     8	   10.723	     21.666	     27.636	     89.068	      0.456	     14.426	    3.904	    3.534	    4.380	    3.299
 1980	     1	     9	   11.525	     21.581	     25.469	     88.002	      0.932	     10.084	    4.254	    3.602	    4.470	    3.388
 1980	     1	    10	   20.976	     21.258	     24.958	     92.797	      0.908	      8.735	    3.960	    2.615	    3.246	    2.310
 1980	     1	    11	   18.418	     21.131	     24.534	     93.481	      0.915	      7.855	    3.306	    2.311	    2.863	    1.977
 1980	     1	    12	   20.113	     21.064	     25.504	     94.130	      1.296	      9.645	    3.405	    2.117	    2.621	    1.766
 1980	     1	    13	   13.233	     21.165	     27.472	     91.255	      1.246	     14.798	    3.251	    2.568	    3.109	    2.188
