CABra ID  	 52
ANA ID    	 19150000
Longitude 	 -62.763   	 dd
Latitude  	 -0.3      	 dd
Area      	 23499.3763	 km²
Elevation 	 173.5023  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ERA5 dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    3.591	     21.571	     28.261	     80.999	      1.581	     14.108	    4.647	    4.195	    4.961	    3.861
 1980	     1	     2	    6.025	     21.291	     27.255	     83.542	      1.628	     13.658	    4.328	    3.711	    4.349	    3.321
 1980	     1	     3	   11.807	     21.532	     27.355	     87.353	      1.732	     13.495	    3.512	    3.525	    4.200	    3.169
 1980	     1	     4	    1.995	     21.205	     28.403	     84.740	      2.096	     16.520	    3.542	    3.494	    4.159	    3.139
 1980	     1	     5	    3.773	     21.441	     28.093	     78.711	      1.775	     13.881	    3.799	    4.289	    5.006	    3.878
 1980	     1	     6	    4.329	     21.233	     26.827	     83.136	      1.894	     12.804	    5.280	    3.685	    4.279	    3.255
 1980	     1	     7	    9.065	     21.279	     27.651	     84.634	      1.554	     13.187	    4.791	    3.339	    3.957	    2.952
 1980	     1	     8	   10.026	     21.010	     26.964	     82.219	      1.555	     11.760	    3.782	    3.477	    4.077	    3.071
 1980	     1	     9	    4.935	     20.937	     27.465	     85.510	      1.778	     13.879	    2.993	    3.146	    3.676	    2.713
 1980	     1	    10	    1.148	     21.405	     28.434	     81.776	      1.676	     16.419	    3.054	    3.643	    4.260	    3.217
 1980	     1	    11	    0.056	     21.644	     28.004	     72.991	      1.590	     13.591	    3.896	    4.206	    4.986	    3.864
 1980	     1	    12	    0.438	     21.678	     28.336	     71.164	      1.780	     13.550	    3.767	    3.580	    4.206	    3.194
 1980	     1	    13	    1.967	     21.052	     29.040	     75.716	      1.913	     16.672	    4.124	    3.640	    4.200	    3.195
 1980	     1	    14	    2.023	     21.098	     29.925	     75.776	      1.656	     19.021	    6.424	    4.407	    5.062	    3.934
 1980	     1	    15	    0.696	     21.291	     29.584	     72.889	      1.519	     16.944	    4.291	    4.944	    5.745	    4.540
 1980	     1	    16	    0.681	     21.352	     29.842	     74.536	      1.234	     18.020	    4.247	    4.449	    5.161	    4.036
 1980	     1	    17	    2.171	     21.935	     30.491	     79.463	      1.374	     19.084	    3.539	    4.630	    5.470	    4.307
 1980	     1	    18	    2.478	     21.975	     28.576	     75.055	      1.152	     14.830	    4.025	    4.926	    5.808	    4.627
 1980	     1	    19	    6.772	     21.290	     29.242	     80.076	      0.922	     16.472	    4.011	    3.809	    4.569	    3.520
 1980	     1	    20	    5.638	     21.448	     29.618	     81.952	      1.039	     17.260	    4.793	    4.192	    5.022	    3.908
 1980	     1	    21	   12.331	     21.300	     29.344	     82.306	      1.648	     16.915	    9.161	    4.414	    5.258	    4.122
