CABra ID  	 53
ANA ID    	 20050000
Longitude 	 -64.442   	 dd
Latitude  	 4.004     	 dd
Area      	 1050.4779 	 km²
Elevation 	 1091.8025 	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ERA5 dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   16.983	     18.345	     22.650	     92.945	      0.976	      8.333	    1.516	    1.767	    2.154	    1.284
 1980	     1	     2	    8.306	     17.800	     25.468	     92.188	      0.311	     18.935	    1.911	    2.240	    2.747	    1.758
 1980	     1	     3	    7.744	     17.678	     27.693	     85.413	      0.657	     25.580	    3.626	    4.478	    5.603	    4.115
 1980	     1	     4	    2.851	     18.630	     27.226	     79.837	      1.961	     23.190	    4.575	    6.030	    7.485	    5.704
 1980	     1	     5	    3.220	     18.887	     26.135	     78.032	      1.750	     19.258	    4.170	    5.610	    6.861	    5.207
 1980	     1	     6	    4.702	     18.361	     26.405	     78.566	      0.989	     20.191	    3.290	    4.678	    5.752	    4.274
 1980	     1	     7	    5.716	     19.139	     25.161	     80.132	      0.725	     14.883	    3.795	    4.852	    5.996	    4.468
 1980	     1	     8	   13.152	     19.213	     25.278	     82.731	      0.741	     15.243	    2.927	    3.660	    4.548	    3.275
 1980	     1	     9	   12.156	     19.508	     25.097	     84.510	      0.719	     12.491	    3.010	    3.742	    4.650	    3.362
 1980	     1	    10	   15.587	     18.733	     25.995	     81.754	      0.641	     16.274	    2.625	    3.164	    3.911	    2.761
 1980	     1	    11	   14.595	     18.844	     24.659	     81.571	      0.668	     13.031	    3.173	    3.992	    4.934	    3.600
 1980	     1	    12	   14.045	     18.882	     20.834	     84.377	      0.913	      3.785	    2.692	    3.254	    4.031	    2.838
 1980	     1	    13	   68.957	     19.232	     23.878	     96.149	      1.180	     12.284	    1.277	    1.237	    1.556	    0.785
 1980	     1	    14	   19.136	     18.590	     23.303	     88.401	      0.839	      9.640	    2.655	    3.060	    3.825	    2.664
 1980	     1	    15	   16.374	     19.011	     22.217	     91.716	      1.254	      7.569	    2.091	    2.514	    3.101	    2.057
 1980	     1	    16	   19.668	     19.021	     24.121	     93.891	      0.908	     12.948	    1.790	    2.038	    2.550	    1.601
 1980	     1	    17	    8.295	     18.498	     26.103	     86.141	      0.203	     14.858	    2.776	    3.199	    4.003	    2.809
 1980	     1	    18	    5.074	     18.155	     28.335	     80.685	      0.517	     24.440	    2.817	    3.645	    4.546	    3.282
 1980	     1	    19	    1.501	     18.650	     28.918	     76.606	      0.453	     24.810	    4.499	    5.833	    7.228	    5.527
 1980	     1	    20	    6.416	     19.499	     28.079	     76.218	      0.435	     21.451	    4.729	    5.946	    7.381	    5.683
 1980	     1	    21	   11.620	     19.181	     28.837	     78.312	      0.721	     23.610	    4.169	    5.180	    6.449	    4.913
 1980	     1	    22	    4.403	     20.001	     28.420	     74.947	      0.635	     22.730	    4.437	    5.735	    7.066	    5.435
 1980	     1	    23	    3.952	     18.961	     26.699	     75.059	      0.350	     18.609	    4.344	    5.500	    6.839	    5.259
 1980	     1	    24	    8.028	     19.531	     27.339	     82.581	      0.452	     17.690	    3.405	    4.484	    5.597	    4.165
 1980	     1	    25	    8.045	     20.052	     27.813	     78.663	      0.468	     20.236	    3.419	    4.342	    5.386	    4.023
 1980	     1	    26	    4.692	     19.847	     28.061	     77.252	      0.718	     22.705	    3.953	    4.913	    6.124	    4.654
 1980	     1	    27	    0.653	     18.912	     27.884	     75.598	      0.620	     21.779	    4.186	    5.472	    6.810	    5.221
 1980	     1	    28	    7.301	     19.259	     26.852	     76.924	      0.783	     18.416	    4.258	    5.263	    6.509	    4.945
 1980	     1	    29	   10.887	     19.568	     24.727	     83.391	      0.671	     11.646	    3.695	    4.501	    5.558	    4.144
 1980	     1	    30	   15.221	     19.292	     25.379	     89.033	      0.989	     14.997	    2.543	    2.960	    3.674	    2.562
 1980	     1	    31	   14.892	     19.565	     25.567	     85.828	      1.267	     14.337	    2.855	    3.710	    4.587	    3.317
 1980	     2	     1	    8.270	     19.809	     25.482	     85.202	      1.523	     13.018	    2.989	    3.609	    4.421	    3.189
 1980	     2	     2	   12.479	     19.904	     25.456	     84.776	      1.508	     13.513	    2.627	    3.351	    4.065	    2.901
 1980	     2	     3	   12.016	     19.053	     26.773	     86.771	      1.016	     15.890	    2.806	    3.434	    4.200	    3.013
 1980	     2	     4	    4.407	     19.795	     24.641	     84.768	      0.800	     12.410	    3.292	    4.019	    4.857	    3.564
 1980	     2	     5	   13.935	     19.271	     25.529	     88.484	      0.722	     12.021	    2.822	    3.119	    3.883	    2.735
 1980	     2	     6	   33.375	     18.477	     27.303	     87.937	      0.703	     17.048	    2.189	    3.105	    3.786	    2.664
 1980	     2	     7	    7.030	     19.839	     24.912	     83.087	      0.116	     11.568	    3.207	    4.262	    5.173	    3.822
 1980	     2	     8	   30.113	     19.185	     26.549	     88.099	      0.800	     17.030	    2.420	    2.914	    3.661	    2.560
 1980	     2	     9	    6.286	     19.270	     26.220	     83.466	      1.166	     18.063	    3.528	    4.198	    5.166	    3.815
 1980	     2	    10	    7.713	     19.860	     27.227	     84.440	      1.429	     21.472	    3.521	    4.399	    5.438	    4.032
 1980	     2	    11	    4.422	     19.323	     24.928	     79.046	      0.773	     13.139	    4.219	    5.172	    6.430	    4.889
 1980	     2	    12	   16.462	     19.410	     23.013	     86.515	      0.619	      6.672	    2.760	    3.286	    4.072	    2.890
 1980	     2	    13	   30.686	     19.040	     21.151	     91.909	      1.298	      4.232	    1.432	    1.882	    2.323	    1.437
 1980	     2	    14	   37.134	     18.335	     20.166	     93.752	      3.043	      3.737	    1.210	    1.332	    1.671	    0.883
 1980	     2	    15	   23.400	     17.551	     18.940	     86.018	      2.807	      3.249	    1.083	    1.203	    1.537	    0.762
 1980	     2	    16	   38.047	     17.348	     22.187	     89.753	      1.220	      6.558	    1.249	    1.051	    1.408	    0.645
 1980	     2	    17	   12.525	     17.409	     23.372	     87.101	      2.055	      7.442	    1.544	    1.943	    2.264	    1.358
 1980	     2	    18	   19.581	     18.303	     24.152	     91.464	      1.544	     13.008	    1.747	    2.321	    2.503	    1.565
 1980	     2	    19	   10.689	     18.043	     26.177	     87.748	      1.283	     20.514	    2.967	    3.282	    3.992	    2.794
 1980	     2	    20	    3.087	     17.374	     28.364	     82.746	      0.548	     23.453	    3.998	    4.922	    6.048	    4.508
 1980	     2	    21	    2.721	     19.043	     25.460	     80.344	      0.988	     13.565	    4.440	    5.618	    6.906	    5.253
 1980	     2	    22	   15.861	     19.054	     27.508	     84.852	      1.047	     22.071	    2.757	    3.426	    4.186	    2.992
 1980	     2	    23	    4.765	     18.503	     27.379	     77.005	      0.341	     21.570	    4.391	    5.321	    6.565	    4.993
 1980	     2	    24	    4.856	     18.018	     27.733	     77.078	      0.572	     23.135	    4.240	    5.125	    6.398	    4.840
 1980	     2	    25	    3.973	     18.384	     25.311	     75.500	      0.444	     16.139	    4.398	    5.499	    6.816	    5.180
 1980	     2	    26	   15.218	     18.919	     26.057	     83.973	      0.658	     15.262	    3.037	    3.891	    4.851	    3.521
 1980	     2	    27	   13.457	     18.855	     25.134	     80.301	      0.713	     15.201	    3.110	    3.785	    4.654	    3.389
 1980	     2	    28	   12.454	     18.796	     26.841	     85.171	      1.485	     21.746	    3.069	    3.713	    4.610	    3.331
 1980	     2	    29	    1.854	     17.931	     27.315	     78.714	      1.899	     25.101	    4.256	    5.216	    6.432	    4.864
 1980	     3	     1	    1.372	     17.803	     27.410	     73.758	      1.832	     24.878	    4.348	    5.994	    7.326	    5.591
 1980	     3	     2	    2.072	     17.970	     27.101	     75.394	      1.626	     22.109	    4.284	    5.965	    7.261	    5.538
 1980	     3	     3	    1.968	     18.743	     25.433	     75.282	      1.288	     16.083	    3.856	    5.373	    6.503	    4.913
 1980	     3	     4	    4.501	     17.568	     27.084	     80.259	      1.636	     22.343	    3.114	    3.955	    4.851	    3.535
 1980	     3	     5	    0.787	     18.890	     26.616	     75.040	      1.700	     18.703	    4.026	    5.431	    6.546	    4.939
 1980	     3	     6	    0.844	     18.632	     26.045	     75.410	      0.992	     16.760	    3.279	    4.619	    5.594	    4.176
 1980	     3	     7	    0.389	     18.461	     26.578	     74.680	      0.622	     18.124	    2.868	    4.120	    5.042	    3.705
 1980	     3	     8	    2.352	     17.318	     28.332	     76.363	      0.947	     23.889	    3.444	    4.394	    5.421	    4.028
 1980	     3	     9	    0.719	     18.789	     28.541	     75.988	      1.305	     24.573	    4.264	    5.776	    7.005	    5.347
