CABra ID  	 56
ANA ID    	 21850000
Longitude 	 -60.569   	 dd
Latitude  	 3.209     	 dd
Area      	 49871.5854	 km²
Elevation 	 409.6364  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ERA5 dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    8.291	     20.354	     26.215	     88.748	      0.812	     12.570	    2.218	    3.050	    3.761	    2.707
 1980	     1	     2	    9.470	     20.363	     26.969	     87.387	      0.776	     16.904	    2.414	    3.216	    3.929	    2.844
 1980	     1	     3	    6.837	     20.214	     27.562	     85.617	      0.244	     18.035	    3.169	    4.142	    5.130	    3.858
 1980	     1	     4	   14.307	     20.214	     26.977	     84.617	      1.104	     15.588	    3.383	    4.363	    5.459	    4.149
 1980	     1	     5	   19.576	     20.336	     27.766	     83.894	      1.528	     18.612	    2.925	    3.921	    4.769	    3.559
 1980	     1	     6	    1.885	     21.017	     29.671	     79.058	      1.830	     22.317	    3.409	    4.638	    5.622	    4.288
 1980	     1	     7	    1.795	     21.110	     28.830	     73.616	      1.076	     18.883	    4.309	    5.608	    6.747	    5.297
 1980	     1	     8	    2.929	     20.471	     27.232	     76.220	      1.169	     14.776	    3.509	    4.730	    5.761	    4.453
 1980	     1	     9	    7.323	     20.867	     27.163	     82.907	      0.385	     15.016	    2.765	    3.786	    4.559	    3.394
 1980	     1	    10	   16.835	     20.160	     23.254	     81.951	      0.890	      7.010	    2.895	    3.714	    4.632	    3.461
 1980	     1	    11	   18.754	     20.366	     24.930	     93.377	      0.545	     11.291	    1.350	    1.931	    2.403	    1.535
 1980	     1	    12	   10.437	     20.061	     24.302	     88.496	      0.752	      7.979	    2.165	    2.856	    3.561	    2.512
 1980	     1	    13	   18.193	     20.520	     23.612	     90.994	      1.474	      7.632	    1.565	    2.179	    2.662	    1.757
 1980	     1	    14	   17.696	     20.457	     24.151	     92.436	      1.316	      7.265	    1.731	    2.065	    2.570	    1.680
