CABra ID  	 5
ANA ID    	 14260000
Longitude 	 -68.912   	 dd
Latitude  	 -3.456    	 dd
Area      	 1063470.666	 km²
Elevation 	 1148.3523 	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ERA5 dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    9.180	     21.617	     26.455	     86.465	      0.148	     10.884	    5.382	    3.909	    4.809	    3.729
 1980	     1	     2	   10.435	     21.701	     28.788	     92.858	      0.302	     17.070	    2.547	    2.737	    3.429	    2.508
 1980	     1	     3	    1.825	     21.648	     28.085	     85.640	      0.388	     15.211	    4.681	    4.154	    5.174	    4.049
 1980	     1	     4	    3.826	     21.651	     28.885	     87.894	      0.583	     17.278	    3.759	    3.742	    4.641	    3.576
 1980	     1	     5	    2.957	     21.608	     29.737	     84.784	      0.777	     18.206	    4.634	    4.254	    5.232	    4.100
 1980	     1	     6	    2.902	     21.535	     29.195	     84.233	      0.803	     17.856	    3.949	    4.548	    5.513	    4.359
 1980	     1	     7	    4.194	     21.076	     29.827	     85.415	      0.666	     20.640	    4.335	    4.435	    5.397	    4.245
 1980	     1	     8	    1.637	     21.435	     29.913	     83.352	      1.073	     21.769	    4.297	    5.039	    6.173	    4.915
 1980	     1	     9	    0.620	     21.666	     30.643	     79.008	      1.536	     22.839	    5.596	    5.358	    6.507	    5.213
 1980	     1	    10	    0.109	     21.645	     30.781	     75.082	      1.751	     23.261	    4.956	    5.733	    6.843	    5.526
 1980	     1	    11	    0.144	     21.151	     31.048	     74.683	      1.992	     24.739	    4.217	    5.880	    6.967	    5.635
 1980	     1	    12	    0.016	     20.691	     30.818	     71.385	      1.880	     24.185	    4.235	    6.280	    7.376	    5.981
 1980	     1	    13	    0.001	     20.953	     30.446	     70.464	      1.655	     22.499	    4.105	    6.145	    7.191	    5.803
 1980	     1	    14	    0.123	     20.835	     30.848	     73.316	      1.418	     23.362	    4.258	    5.695	    6.714	    5.390
 1980	     1	    15	    0.032	     21.759	     31.006	     74.349	      1.027	     22.138	    4.768	    5.883	    6.968	    5.615
 1980	     1	    16	    0.163	     21.884	     31.556	     72.933	      1.026	     22.445	    4.808	    5.548	    6.669	    5.387
 1980	     1	    17	    0.231	     22.492	     30.731	     73.384	      0.637	     19.810	    4.063	    5.659	    6.783	    5.503
 1980	     1	    18	    2.746	     22.394	     30.890	     78.041	      0.672	     19.039	    4.643	    4.917	    6.028	    4.845
 1980	     1	    19	    4.012	     22.170	     30.623	     79.385	      0.655	     18.986	    4.287	    4.778	    5.812	    4.660
 1980	     1	    20	    1.568	     22.157	     29.718	     80.545	      0.643	     16.712	    4.742	    4.745	    5.782	    4.622
 1980	     1	    21	    5.114	     21.754	     28.210	     83.028	      0.316	     15.146	    4.193	    4.188	    5.115	    4.026
 1980	     1	    22	    6.796	     21.880	     29.679	     86.196	      0.317	     17.080	    3.694	    3.724	    4.633	    3.569
 1980	     1	    23	    1.980	     21.909	     30.568	     82.332	      0.924	     19.638	    4.808	    4.208	    5.211	    4.100
 1980	     1	    24	    3.856	     21.860	     30.570	     81.694	      0.595	     18.916	    4.880	    4.948	    5.958	    4.766
