CABra ID  	 64
ANA ID    	 23700000
Longitude 	 -60.521   	 dd
Latitude  	 -0.857    	 dd
Area      	 7112.0155 	 km²
Elevation 	 107.539   	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ERA5 dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   11.817	     20.839	     26.355	     87.622	      0.666	     12.003	    2.476	    3.144	    3.871	    2.850
 1980	     1	     2	   13.542	     20.541	     27.246	     88.246	      0.434	     16.588	    2.548	    3.067	    3.775	    2.739
 1980	     1	     3	    8.809	     20.580	     27.792	     85.881	      0.445	     16.942	    3.318	    4.045	    5.037	    3.802
 1980	     1	     4	   10.538	     20.760	     27.184	     85.687	      1.018	     16.348	    3.339	    4.156	    5.151	    3.907
 1980	     1	     5	   15.493	     20.770	     28.306	     84.767	      1.164	     19.513	    3.318	    4.049	    4.986	    3.762
 1980	     1	     6	    5.118	     20.863	     28.685	     81.298	      1.079	     17.726	    3.778	    4.802	    5.886	    4.550
 1980	     1	     7	   10.796	     20.973	     28.296	     81.725	      0.617	     17.452	    3.480	    4.474	    5.402	    4.150
 1980	     1	     8	   10.479	     21.175	     27.497	     82.099	      0.708	     15.186	    3.451	    4.318	    5.324	    4.085
 1980	     1	     9	   10.895	     21.261	     25.780	     84.766	      0.603	     10.643	    3.074	    3.798	    4.679	    3.526
 1980	     1	    10	   18.360	     20.743	     24.980	     87.508	      0.730	      9.890	    2.152	    2.743	    3.405	    2.422
 1980	     1	    11	   20.467	     20.704	     25.005	     91.108	      0.772	      9.716	    2.162	    2.563	    3.184	    2.217
 1980	     1	    12	   18.719	     20.664	     24.264	     89.685	      1.162	      7.168	    2.095	    2.534	    3.134	    2.173
 1980	     1	    13	   28.271	     20.772	     24.950	     92.100	      1.314	      8.852	    1.742	    2.017	    2.446	    1.597
 1980	     1	    14	   20.509	     20.707	     24.787	     89.649	      1.221	      8.668	    2.022	    2.396	    2.902	    1.981
 1980	     1	    15	   18.723	     20.660	     25.576	     91.831	      1.126	     10.723	    1.912	    2.342	    2.852	    1.941
 1980	     1	    16	   14.048	     20.987	     27.218	     90.513	      0.718	     14.339	    2.328	    2.815	    3.427	    2.445
 1980	     1	    17	   12.213	     20.494	     27.727	     84.311	      0.391	     16.169	    2.953	    3.609	    4.446	    3.328
 1980	     1	    18	   11.675	     19.723	     29.977	     84.639	      0.751	     24.681	    3.173	    3.982	    4.940	    3.733
 1980	     1	    19	    3.553	     20.710	     29.429	     80.023	      0.487	     22.450	    4.679	    6.002	    7.349	    5.798
 1980	     1	    20	    8.870	     20.903	     29.846	     81.997	      0.474	     22.736	    4.317	    5.436	    6.747	    5.300
 1980	     1	    21	    5.974	     21.131	     30.361	     80.335	      0.792	     24.065	    4.476	    5.523	    6.849	    5.407
 1980	     1	    22	    2.962	     21.567	     29.645	     77.223	      0.722	     21.398	    4.614	    5.900	    7.255	    5.772
 1980	     1	    23	    4.131	     21.123	     29.368	     79.023	      0.596	     21.130	    4.179	    5.261	    6.495	    5.119
 1980	     1	    24	    4.544	     21.270	     28.887	     81.785	      0.559	     19.112	    4.114	    5.169	    6.389	    5.012
 1980	     1	    25	    9.970	     21.178	     29.330	     81.288	      0.431	     20.818	    3.751	    4.697	    5.810	    4.514
 1980	     1	    26	    8.260	     21.446	     29.670	     81.934	      0.570	     20.923	    4.081	    5.074	    6.303	    4.941
 1980	     1	    27	    6.094	     21.354	     25.950	     79.752	      0.689	     10.620	    4.110	    5.137	    6.355	    4.999
 1980	     1	    28	   21.124	     20.982	     27.030	     89.733	      0.733	     14.428	    2.194	    2.763	    3.416	    2.437
 1980	     1	    29	   11.551	     21.279	     26.630	     87.064	      0.693	     12.011	    2.996	    3.614	    4.456	    3.321
 1980	     1	    30	   15.043	     21.235	     26.877	     87.558	      0.832	     12.873	    2.503	    3.081	    3.791	    2.769
 1980	     1	    31	   13.977	     21.322	     26.718	     86.102	      1.000	     12.159	    2.700	    3.283	    4.030	    2.970
 1980	     2	     1	   15.264	     21.309	     26.147	     87.538	      0.901	     10.784	    2.605	    3.144	    3.837	    2.809
