CABra ID  	 67
ANA ID    	 24500000
Longitude 	 -59.704   	 dd
Latitude  	 -2.699    	 dd
Area      	 967.2219  	 km²
Elevation 	 96.0501   	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ERA5 dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    0.631	     18.068	     25.532	     85.719	      1.454	     17.923	    2.007	    2.698	    3.354	    2.293
 1980	     1	     2	    0.532	     17.113	     26.463	     76.215	      0.349	     20.265	    2.881	    4.348	    5.296	    3.910
 1980	     1	     3	    1.048	     18.394	     28.264	     81.417	      0.951	     22.254	    3.317	    4.761	    5.914	    4.418
 1980	     1	     4	    1.703	     19.898	     29.132	     81.815	      1.422	     24.357	    3.930	    5.417	    6.579	    5.042
 1980	     1	     5	    1.258	     20.309	     28.221	     78.170	      1.940	     19.820	    4.622	    5.970	    7.265	    5.677
 1980	     1	     6	    2.814	     20.826	     27.742	     80.401	      1.609	     19.804	    3.949	    4.994	    5.984	    4.593
 1980	     1	     7	    5.011	     21.101	     27.259	     79.048	      0.855	     15.856	    3.831	    4.855	    5.981	    4.591
 1980	     1	     8	   15.587	     19.791	     28.646	     82.353	      0.691	     21.860	    3.171	    3.954	    4.881	    3.667
 1980	     1	     9	    3.877	     20.085	     27.723	     82.897	      0.586	     19.787	    4.435	    5.310	    6.545	    5.061
 1980	     1	    10	   17.026	     20.702	     26.862	     85.785	      1.395	     15.694	    3.858	    4.791	    5.949	    4.546
 1980	     1	    11	   13.257	     20.234	     24.418	     85.878	      1.001	     10.105	    3.438	    3.939	    4.815	    3.596
 1980	     1	    12	    8.967	     19.965	     27.752	     90.176	      0.456	     18.438	    2.191	    2.614	    3.239	    2.233
 1980	     1	    13	    1.995	     19.970	     28.659	     82.425	      0.564	     20.918	    3.649	    4.493	    5.573	    4.231
 1980	     1	    14	    3.215	     20.432	     28.446	     79.124	      0.901	     19.411	    3.957	    5.091	    6.290	    4.853
 1980	     1	    15	    7.220	     20.700	     27.719	     81.842	      1.087	     16.387	    4.113	    4.805	    5.880	    4.516
 1980	     1	    16	   17.816	     20.989	     26.349	     83.788	      1.515	     14.156	    3.560	    4.137	    5.027	    3.792
 1980	     1	    17	   11.625	     20.647	     26.686	     86.326	      1.731	     14.910	    2.898	    3.570	    4.387	    3.234
 1980	     1	    18	    9.942	     20.739	     26.719	     84.442	      1.948	     18.733	    3.358	    3.794	    4.593	    3.406
 1980	     1	    19	    2.736	     20.079	     28.796	     82.621	      0.467	     25.022	    3.637	    4.520	    5.647	    4.287
 1980	     1	    20	    4.419	     20.115	     29.027	     79.464	      0.404	     24.697	    4.709	    5.954	    7.442	    5.822
 1980	     1	    21	    3.862	     20.867	     30.158	     81.103	      1.323	     25.450	    4.886	    5.895	    7.363	    5.765
 1980	     1	    22	    0.712	     22.167	     29.851	     76.710	      1.850	     24.708	    4.721	    6.276	    7.662	    6.072
 1980	     1	    23	    3.189	     21.181	     29.328	     75.643	      1.673	     24.087	    4.814	    6.061	    7.496	    5.962
 1980	     1	    24	    8.075	     20.701	     29.129	     79.115	      0.686	     22.235	    4.486	    5.904	    7.253	    5.713
 1980	     1	    25	   16.421	     21.130	     29.000	     80.176	      0.367	     21.936	    4.430	    5.417	    6.704	    5.233
 1980	     1	    26	    3.650	     20.255	     30.154	     80.365	      1.104	     27.141	    3.974	    5.304	    6.630	    5.179
 1980	     1	    27	    0.191	     21.524	     27.582	     76.383	      0.556	     15.256	    5.132	    6.609	    8.108	    6.429
 1980	     1	    28	    2.396	     20.899	     27.979	     82.081	      0.145	     17.242	    2.958	    3.810	    4.730	    3.560
 1980	     1	    29	   12.045	     21.641	     26.935	     86.429	      0.385	     14.686	    3.436	    4.207	    5.276	    4.013
 1980	     1	    30	   23.908	     21.594	     28.617	     85.444	      0.803	     18.299	    3.292	    3.640	    4.559	    3.405
 1980	     1	    31	   10.526	     21.447	     26.186	     80.848	      1.286	     11.946	    3.613	    4.547	    5.609	    4.324
 1980	     2	     1	   11.254	     20.786	     26.721	     87.833	      0.866	     14.024	    2.395	    3.079	    3.784	    2.739
 1980	     2	     2	    9.955	     21.429	     28.086	     88.341	      0.534	     16.539	    3.039	    3.540	    4.350	    3.209
 1980	     2	     3	   10.808	     20.966	     29.178	     82.899	      0.400	     21.254	    3.509	    4.110	    5.095	    3.877
 1980	     2	     4	    6.880	     21.075	     29.058	     82.894	      0.563	     17.946	    4.200	    5.169	    6.436	    5.019
 1980	     2	     5	    6.269	     20.577	     29.530	     82.326	      0.822	     23.821	    3.558	    4.476	    5.505	    4.237
 1980	     2	     6	    6.392	     20.818	     29.605	     83.093	      0.803	     23.266	    5.047	    5.803	    7.155	    5.623
