CABra ID  	 69
ANA ID    	 24750000
Longitude 	 -59.96    	 dd
Latitude  	 -15.007   	 dd
Area      	 22580.8038	 km²
Elevation 	 302.5131  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ERA5 dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   24.083	     19.957	     25.167	     89.758	      0.423	     17.103	    2.195	    2.763	    3.446	    2.400
 1980	     1	     2	    5.080	     16.995	     26.072	     82.129	      0.951	     17.522	    3.019	    4.072	    5.149	    3.809
 1980	     1	     3	    0.311	     17.258	     27.924	     75.526	      0.966	     21.156	    2.759	    4.315	    5.185	    3.798
 1980	     1	     4	    0.033	     18.320	     29.924	     71.150	      1.248	     27.624	    3.634	    5.205	    6.238	    4.709
 1980	     1	     5	    0.687	     18.768	     27.799	     66.523	      1.149	     22.768	    5.066	    6.766	    8.157	    6.381
 1980	     1	     6	    5.789	     19.722	     27.238	     80.646	      1.112	     19.147	    4.476	    5.500	    6.735	    5.152
 1980	     1	     7	   13.032	     20.275	     25.306	     81.208	      0.779	     15.329	    3.956	    4.688	    5.760	    4.354
 1980	     1	     8	    5.401	     19.889	     26.712	     86.158	      0.883	     16.990	    2.898	    3.717	    4.679	    3.428
 1980	     1	     9	    5.642	     20.239	     26.729	     85.246	      1.460	     17.839	    3.364	    4.179	    5.157	    3.846
 1980	     1	    10	   12.403	     20.273	     25.084	     84.204	      1.607	     14.408	    3.867	    4.380	    5.402	    4.058
 1980	     1	    11	    4.824	     19.847	     23.257	     88.165	      0.993	      9.104	    3.084	    3.522	    4.423	    3.212
 1980	     1	    12	    8.541	     19.660	     27.069	     91.346	      0.623	     16.686	    2.049	    2.357	    2.963	    1.977
 1980	     1	    13	    4.173	     18.631	     27.950	     83.468	      0.686	     20.456	    3.493	    4.121	    5.077	    3.784
 1980	     1	    14	    7.683	     20.348	     26.499	     80.353	      0.328	     16.037	    4.256	    4.985	    6.102	    4.630
 1980	     1	    15	   17.663	     20.569	     25.194	     86.681	      1.392	     11.683	    3.758	    3.913	    4.903	    3.641
 1980	     1	    16	   46.584	     20.192	     23.773	     88.761	      1.971	      8.589	    2.800	    2.997	    3.695	    2.620
 1980	     1	    17	   15.450	     20.353	     24.771	     92.839	      1.745	     11.302	    2.252	    2.303	    2.833	    1.881
 1980	     1	    18	   11.163	     19.990	     26.551	     88.314	      0.501	     16.299	    2.474	    2.902	    3.579	    2.514
 1980	     1	    19	    4.868	     19.135	     29.791	     80.718	      0.284	     26.530	    3.155	    3.989	    4.971	    3.695
 1980	     1	    20	    0.400	     19.543	     29.197	     73.062	      0.273	     24.340	    4.835	    6.314	    7.884	    6.174
 1980	     1	    21	    3.696	     20.862	     29.514	     76.959	      0.516	     23.015	    4.491	    5.815	    7.265	    5.655
 1980	     1	    22	    3.355	     21.097	     29.749	     76.653	      0.874	     24.020	    4.306	    5.605	    6.965	    5.452
 1980	     1	    23	    8.628	     20.278	     28.540	     76.538	      1.566	     21.755	    4.359	    5.882	    7.267	    5.718
 1980	     1	    24	    5.127	     20.606	     27.270	     80.681	      1.317	     16.861	    4.056	    5.380	    6.547	    5.058
 1980	     1	    25	    3.507	     20.477	     29.242	     81.255	      0.728	     24.026	    3.467	    4.219	    5.156	    3.876
 1980	     1	    26	    1.320	     21.222	     29.488	     77.244	      0.716	     23.280	    4.670	    5.825	    7.220	    5.647
 1980	     1	    27	    0.477	     19.608	     28.544	     73.789	      0.809	     19.454	    4.605	    5.679	    7.051	    5.534
 1980	     1	    28	    2.267	     20.274	     27.757	     78.934	      0.865	     17.473	    3.783	    4.835	    5.881	    4.490
 1980	     1	    29	   13.227	     21.412	     25.322	     85.394	      0.512	     12.882	    3.556	    4.355	    5.329	    4.026
 1980	     1	    30	    9.251	     20.998	     27.765	     88.761	      1.105	     16.407	    2.696	    3.196	    4.036	    2.921
 1980	     1	    31	    5.001	     20.646	     26.014	     81.193	      1.221	     12.626	    3.746	    4.143	    5.053	    3.813
 1980	     2	     1	    6.507	     20.983	     27.032	     88.249	      1.348	     14.213	    2.859	    3.246	    3.963	    2.860
 1980	     2	     2	    6.505	     21.286	     27.861	     84.046	      1.004	     18.053	    3.117	    3.654	    4.426	    3.273
 1980	     2	     3	    7.243	     19.826	     28.952	     83.051	      0.301	     21.949	    3.924	    4.462	    5.523	    4.213
 1980	     2	     4	    3.152	     20.587	     28.224	     82.472	      0.390	     20.150	    4.431	    5.292	    6.595	    5.101
 1980	     2	     5	    2.911	     20.527	     29.053	     83.579	      0.983	     23.674	    4.041	    4.885	    6.096	    4.686
 1980	     2	     6	    6.694	     21.660	     28.427	     81.502	      0.393	     17.654	    4.767	    5.757	    7.110	    5.554
 1980	     2	     7	    7.084	     21.108	     28.356	     81.812	      0.508	     18.797	    3.648	    4.359	    5.436	    4.165
 1980	     2	     8	    8.180	     21.245	     27.325	     81.238	      0.959	     14.740	    3.665	    4.615	    5.738	    4.403
 1980	     2	     9	    2.758	     20.814	     27.416	     82.658	      0.975	     15.646	    3.299	    3.735	    4.583	    3.417
 1980	     2	    10	    6.402	     21.101	     26.782	     81.876	      1.152	     17.294	    3.643	    3.939	    4.824	    3.611
 1980	     2	    11	    8.098	     21.187	     26.404	     83.989	      1.861	      9.973	    3.779	    4.210	    5.271	    3.976
 1980	     2	    12	   10.375	     20.547	     23.440	     84.234	      0.903	      4.413	    2.856	    2.796	    3.246	    2.285
 1980	     2	    13	   26.858	     20.247	     22.712	     94.655	      1.054	      4.553	    1.392	    1.418	    1.718	    0.969
 1980	     2	    14	   58.237	     19.664	     21.927	     95.454	      3.120	      7.714	    1.732	    1.416	    1.756	    0.989
 1980	     2	    15	   58.851	     18.744	     22.123	     88.746	      3.299	      7.240	    2.238	    1.924	    2.574	    1.641
 1980	     2	    16	   13.683	     18.104	     22.950	     82.633	      2.263	      6.971	    1.841	    2.019	    2.440	    1.525
 1980	     2	    17	   19.026	     19.849	     26.237	     90.559	      1.955	     13.991	    1.976	    2.137	    2.371	    1.474
 1980	     2	    18	   10.808	     18.935	     27.208	     87.355	      1.229	     19.975	    3.681	    3.646	    4.316	    3.147
 1980	     2	    19	    5.663	     19.453	     27.034	     83.579	      0.632	     18.160	    4.101	    4.882	    5.941	    4.497
 1980	     2	    20	    2.464	     19.632	     28.224	     83.128	      0.326	     18.761	    3.704	    4.414	    5.458	    4.104
 1980	     2	    21	    3.360	     19.758	     26.710	     81.423	      0.497	     15.661	    4.384	    4.564	    5.668	    4.314
 1980	     2	    22	    4.346	     20.465	     26.763	     87.334	      0.933	     15.174	    3.096	    3.857	    4.776	    3.539
 1980	     2	    23	   14.546	     19.566	     24.218	     81.831	      0.813	      9.999	    3.135	    3.789	    4.662	    3.461
 1980	     2	    24	    7.346	     20.360	     26.946	     92.634	      0.604	     14.791	    1.933	    2.590	    3.197	    2.185
