CABra ID  	 70
ANA ID    	 24780000
Longitude 	 -60.528   	 dd
Latitude  	 -13.528   	 dd
Area      	 3618.8828 	 km²
Elevation 	 362.4849  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ERA5 dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   10.796	     20.441	     25.433	     85.284	      0.993	     17.378	    2.422	    3.089	    3.775	    2.686
 1980	     1	     2	    1.354	     17.445	     26.011	     76.926	      0.569	     17.026	    2.941	    4.135	    5.249	    3.899
 1980	     1	     3	    0.194	     17.728	     27.891	     76.382	      0.819	     19.333	    2.601	    4.136	    5.073	    3.707
 1980	     1	     4	    0.017	     18.683	     30.051	     71.018	      1.163	     27.537	    2.937	    4.796	    5.766	    4.324
 1980	     1	     5	    0.206	     18.666	     27.246	     64.898	      1.331	     22.159	    4.529	    6.744	    8.168	    6.396
 1980	     1	     6	    7.958	     19.762	     27.064	     82.481	      1.322	     18.386	    4.627	    5.344	    6.549	    4.974
 1980	     1	     7	    6.178	     20.378	     25.761	     81.917	      0.982	     15.117	    4.144	    4.543	    5.552	    4.174
 1980	     1	     8	    3.795	     19.774	     26.256	     83.638	      0.903	     16.355	    3.118	    3.718	    4.640	    3.403
 1980	     1	     9	    3.180	     20.595	     25.543	     86.820	      1.360	     15.709	    3.255	    4.023	    4.973	    3.677
 1980	     1	    10	   20.413	     20.105	     25.015	     87.253	      1.799	     13.670	    3.195	    3.808	    4.802	    3.536
 1980	     1	    11	    6.498	     19.668	     22.254	     87.690	      1.054	      6.476	    3.046	    3.395	    4.222	    3.039
 1980	     1	    12	   13.141	     19.738	     27.080	     95.641	      0.581	     16.723	    1.502	    1.791	    2.259	    1.383
 1980	     1	    13	    2.571	     18.852	     28.367	     83.352	      0.660	     20.063	    3.728	    4.127	    5.095	    3.796
 1980	     1	    14	    9.856	     20.425	     26.415	     78.585	      0.329	     16.314	    3.605	    4.932	    6.024	    4.576
 1980	     1	    15	   12.363	     20.489	     24.822	     85.821	      1.379	     11.299	    3.521	    3.976	    4.985	    3.704
 1980	     1	    16	   61.721	     20.198	     22.801	     90.222	      1.972	      8.569	    2.832	    2.890	    3.585	    2.518
 1980	     1	    17	   17.677	     20.183	     24.345	     95.182	      2.039	     10.174	    2.810	    2.175	    2.821	    1.855
 1980	     1	    18	   14.083	     19.835	     25.247	     91.508	      0.695	     12.670	    2.442	    2.668	    3.269	    2.245
 1980	     1	    19	    4.617	     19.248	     29.650	     84.920	      0.364	     27.291	    2.335	    3.189	    3.950	    2.815
 1980	     1	    20	    0.223	     19.535	     29.299	     72.057	      0.314	     24.206	    5.148	    6.498	    8.105	    6.351
 1980	     1	    21	    2.838	     20.358	     29.641	     75.754	      0.713	     23.579	    4.427	    5.805	    7.239	    5.629
 1980	     1	    22	    2.445	     21.226	     29.950	     76.233	      1.163	     24.564	    4.567	    5.770	    7.114	    5.559
 1980	     1	    23	    1.124	     20.449	     28.233	     74.486	      1.581	     20.709	    4.546	    6.054	    7.444	    5.870
 1980	     1	    24	    0.994	     20.723	     27.255	     81.830	      1.203	     16.446	    3.668	    5.133	    6.257	    4.807
 1980	     1	    25	    8.713	     19.801	     28.785	     81.804	      0.579	     22.298	    3.876	    4.125	    5.050	    3.785
 1980	     1	    26	    0.676	     21.129	     29.739	     81.100	      0.543	     24.266	    4.537	    5.410	    6.695	    5.170
 1980	     1	    27	    0.450	     19.590	     28.582	     74.027	      0.614	     18.256	    4.760	    5.898	    7.345	    5.778
 1980	     1	    28	    1.568	     20.274	     26.832	     78.283	      0.753	     15.468	    3.630	    4.553	    5.554	    4.212
 1980	     1	    29	   17.295	     20.948	     24.974	     87.183	      0.400	     11.732	    3.094	    3.861	    4.756	    3.523
 1980	     1	    30	   10.518	     20.767	     27.499	     91.021	      1.019	     15.980	    2.817	    2.950	    3.712	    2.634
 1980	     1	    31	    7.066	     20.588	     26.331	     82.458	      1.117	     13.635	    3.913	    4.034	    4.927	    3.691
 1980	     2	     1	    3.108	     20.874	     27.286	     87.913	      1.203	     13.793	    3.345	    3.472	    4.249	    3.099
 1980	     2	     2	    9.455	     21.191	     28.394	     84.180	      0.850	     18.435	    2.954	    3.591	    4.317	    3.182
 1980	     2	     3	    4.418	     19.865	     29.078	     81.961	      0.394	     21.813	    4.179	    4.585	    5.649	    4.325
 1980	     2	     4	    1.768	     20.602	     27.865	     81.918	      0.388	     18.451	    4.543	    5.292	    6.570	    5.079
 1980	     2	     5	    2.183	     20.516	     29.085	     83.275	      0.993	     23.177	    3.630	    4.505	    5.617	    4.272
