CABra ID  	 71
ANA ID    	 24800000
Longitude 	 -61.049   	 dd
Latitude  	 -13.487   	 dd
Area      	 52250.8023	 km²
Elevation 	 338.971   	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ERA5 dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   18.878	     20.402	     25.987	     87.800	      0.677	     18.018	    2.383	    3.044	    3.774	    2.704
 1980	     1	     2	    3.048	     17.840	     26.576	     79.235	      0.749	     17.678	    3.144	    4.307	    5.423	    4.076
 1980	     1	     3	    0.258	     17.939	     28.537	     75.268	      0.845	     21.173	    2.793	    4.326	    5.258	    3.898
 1980	     1	     4	    0.025	     19.008	     30.286	     71.127	      1.093	     27.649	    3.581	    5.215	    6.278	    4.790
 1980	     1	     5	    0.562	     19.148	     27.651	     66.859	      1.160	     21.795	    5.014	    6.756	    8.199	    6.466
 1980	     1	     6	    5.689	     20.145	     27.654	     83.016	      1.093	     18.865	    4.466	    5.268	    6.462	    4.945
 1980	     1	     7	   10.181	     20.507	     25.774	     80.940	      0.705	     14.837	    3.996	    4.648	    5.695	    4.333
 1980	     1	     8	    6.731	     20.321	     27.030	     85.183	      0.803	     17.135	    2.862	    3.634	    4.550	    3.345
 1980	     1	     9	    7.020	     20.772	     26.823	     84.845	      1.290	     16.760	    3.407	    4.209	    5.206	    3.915
 1980	     1	    10	   12.347	     20.423	     25.435	     84.782	      1.478	     13.596	    3.715	    4.132	    5.111	    3.841
 1980	     1	    11	    7.583	     20.060	     23.083	     87.690	      0.884	      7.570	    3.014	    3.385	    4.202	    3.049
 1980	     1	    12	   14.562	     19.947	     27.424	     93.500	      0.637	     17.238	    1.827	    2.032	    2.550	    1.643
 1980	     1	    13	    3.586	     19.368	     28.300	     83.321	      0.540	     20.343	    3.685	    4.248	    5.234	    3.941
 1980	     1	    14	    7.662	     20.827	     26.721	     80.426	      0.404	     15.612	    4.193	    4.945	    6.095	    4.665
 1980	     1	    15	   13.561	     20.801	     25.391	     86.631	      1.316	     11.262	    3.632	    3.831	    4.792	    3.573
 1980	     1	    16	   34.230	     20.491	     24.068	     88.810	      1.843	      8.400	    2.947	    2.911	    3.577	    2.537
 1980	     1	    17	   15.454	     20.671	     25.119	     92.622	      1.660	     11.286	    2.394	    2.267	    2.782	    1.853
 1980	     1	    18	   13.213	     20.329	     26.289	     88.526	      0.442	     14.304	    2.553	    2.908	    3.577	    2.532
 1980	     1	    19	    5.274	     19.630	     30.102	     82.730	      0.297	     26.875	    2.849	    3.545	    4.417	    3.246
 1980	     1	    20	    0.351	     20.053	     29.479	     73.011	      0.305	     24.559	    4.898	    6.409	    8.002	    6.315
 1980	     1	    21	    2.717	     21.268	     29.892	     76.783	      0.619	     24.139	    4.593	    5.880	    7.344	    5.759
 1980	     1	    22	    2.275	     21.663	     30.175	     76.413	      0.978	     24.087	    4.589	    5.876	    7.300	    5.773
 1980	     1	    23	    7.491	     20.613	     28.831	     75.759	      1.381	     21.259	    4.441	    5.929	    7.311	    5.800
 1980	     1	    24	    4.779	     20.887	     27.597	     81.592	      1.032	     16.929	    4.085	    5.272	    6.415	    4.979
