CABra ID  	 76
ANA ID    	 25200000
Longitude 	 -65.349   	 dd
Latitude  	 -10.793   	 dd
Area      	 617280.6056	 km²
Elevation 	 532.5874  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ERA5 dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   12.087	     20.119	     26.430	     86.799	      1.036	     18.213	    2.482	    2.894	    3.577	    2.534
 1980	     1	     2	    2.413	     18.444	     27.065	     76.582	      0.625	     19.726	    3.283	    4.403	    5.474	    4.135
 1980	     1	     3	    0.658	     18.983	     29.014	     75.609	      0.815	     23.393	    3.243	    4.738	    5.839	    4.412
 1980	     1	     4	    0.739	     20.323	     29.978	     72.960	      1.049	     25.866	    4.148	    5.689	    6.947	    5.401
 1980	     1	     5	    1.995	     20.025	     27.851	     71.374	      1.351	     20.881	    4.883	    6.310	    7.736	    6.121
 1980	     1	     6	    6.059	     20.598	     28.261	     82.441	      1.210	     19.252	    4.232	    5.091	    6.241	    4.798
 1980	     1	     7	    6.843	     21.037	     26.772	     79.483	      0.665	     15.194	    3.931	    4.767	    5.825	    4.476
 1980	     1	     8	   11.786	     20.748	     28.039	     83.818	      0.773	     19.404	    2.954	    3.750	    4.675	    3.489
 1980	     1	     9	    6.331	     20.905	     27.612	     82.567	      1.002	     17.540	    3.826	    4.740	    5.869	    4.513
 1980	     1	    10	   15.487	     20.807	     26.140	     83.907	      1.209	     13.470	    3.761	    4.336	    5.344	    4.068
 1980	     1	    11	   11.793	     20.442	     24.169	     86.915	      0.873	      8.694	    2.982	    3.400	    4.183	    3.060
 1980	     1	    12	   13.642	     20.169	     27.819	     91.489	      0.563	     17.526	    2.137	    2.304	    2.859	    1.923
 1980	     1	    13	    4.370	     20.119	     28.541	     82.947	      0.586	     20.408	    3.700	    4.314	    5.320	    4.034
 1980	     1	    14	    4.878	     20.979	     27.526	     80.193	      0.673	     15.842	    4.083	    4.968	    6.137	    4.733
 1980	     1	    15	   10.735	     20.982	     26.164	     84.813	      1.255	     12.817	    3.600	    3.951	    4.872	    3.667
 1980	     1	    16	   17.297	     20.902	     24.973	     87.206	      1.660	      9.610	    3.124	    3.271	    4.015	    2.926
 1980	     1	    17	   12.839	     20.942	     26.420	     90.221	      1.538	     13.701	    2.365	    2.557	    3.121	    2.159
 1980	     1	    18	    9.112	     20.600	     27.308	     84.161	      0.833	     17.337	    3.067	    3.490	    4.260	    3.139
 1980	     1	    19	    5.060	     20.284	     30.371	     81.282	      0.368	     26.299	    3.410	    4.238	    5.279	    4.003
 1980	     1	    20	    1.378	     20.675	     29.712	     74.307	      0.343	     24.251	    5.049	    6.314	    7.871	    6.248
 1980	     1	    21	    4.240	     21.324	     30.415	     77.649	      0.826	     24.949	    4.729	    5.832	    7.282	    5.744
 1980	     1	    22	    2.810	     22.054	     29.958	     76.805	      1.263	     23.425	    4.658	    6.113	    7.540	    6.003
 1980	     1	    23	    7.030	     21.282	     29.211	     77.002	      1.345	     22.011	    4.540	    5.774	    7.117	    5.651
 1980	     1	    24	    4.301	     21.253	     28.493	     80.005	      0.810	     19.382	    4.223	    5.428	    6.655	    5.218
 1980	     1	    25	    8.675	     21.086	     29.838	     80.993	      0.515	     22.684	    3.982	    4.764	    5.893	    4.559
 1980	     1	    26	    2.417	     21.202	     30.577	     77.692	      0.634	     25.380	    4.503	    5.532	    6.866	    5.413
 1980	     1	    27	    0.786	     21.119	     29.105	     74.298	      0.604	     19.480	    4.837	    6.186	    7.662	    6.106
 1980	     1	    28	    2.411	     21.307	     28.425	     78.051	      0.676	     17.535	    3.953	    4.812	    5.937	    4.613
