CABra ID  	 82
ANA ID    	 26350000
Longitude 	 -63.288   	 dd
Latitude  	 -9.759    	 dd
Area      	 844.7938  	 km²
Elevation 	 187.8599  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ERA5 dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   10.407	     21.068	     28.658	     85.684	      0.939	     19.963	    3.073	    3.367	    4.127	    3.057
 1980	     1	     2	    2.659	     20.832	     28.876	     75.916	      0.507	     19.845	    3.941	    4.893	    6.022	    4.696
 1980	     1	     3	    3.947	     21.304	     29.541	     79.418	      0.440	     21.261	    3.583	    4.840	    5.993	    4.673
 1980	     1	     4	    5.373	     21.768	     29.491	     81.517	      0.812	     21.124	    3.892	    5.171	    6.427	    5.067
 1980	     1	     5	    7.279	     21.361	     27.592	     80.606	      1.242	     15.541	    4.004	    5.185	    6.403	    5.055
 1980	     1	     6	   10.073	     21.378	     28.566	     85.500	      1.077	     18.285	    3.280	    3.905	    4.770	    3.614
 1980	     1	     7	   10.890	     21.698	     27.888	     83.004	      0.513	     15.432	    3.669	    4.551	    5.559	    4.304
 1980	     1	     8	   12.639	     21.846	     29.124	     84.905	      0.472	     19.047	    3.312	    3.830	    4.759	    3.620
 1980	     1	     9	    8.651	     22.095	     28.152	     82.757	      1.018	     16.113	    3.531	    4.668	    5.805	    4.539
 1980	     1	    10	   14.175	     21.454	     26.881	     84.253	      1.020	     12.545	    3.337	    4.036	    4.966	    3.812
 1980	     1	    11	   19.845	     21.247	     24.518	     86.818	      0.796	      7.065	    2.878	    3.228	    3.935	    2.903
 1980	     1	    12	   19.408	     21.062	     27.129	     91.937	      0.733	     13.477	    1.908	    1.952	    2.416	    1.582
 1980	     1	    13	    8.824	     21.185	     28.130	     86.460	      0.713	     14.982	    3.038	    3.409	    4.188	    3.109
 1980	     1	    14	    7.418	     21.582	     27.590	     83.014	      0.873	     13.149	    3.140	    3.791	    4.625	    3.500
 1980	     1	    15	   14.235	     21.524	     26.959	     86.283	      1.296	     12.276	    3.198	    3.378	    4.115	    3.066
 1980	     1	    16	   14.293	     21.463	     26.006	     87.443	      1.462	      9.366	    2.849	    3.202	    3.863	    2.840
 1980	     1	    17	   21.089	     21.732	     27.317	     89.696	      1.208	     14.355	    2.359	    2.562	    3.056	    2.142
 1980	     1	    18	   10.282	     21.395	     28.828	     85.475	      0.888	     18.775	    3.028	    3.628	    4.447	    3.344
 1980	     1	    19	    3.702	     21.380	     30.678	     81.859	      0.420	     24.232	    3.366	    4.629	    5.720	    4.458
 1980	     1	    20	    3.313	     21.899	     30.140	     78.232	      0.559	     23.489	    4.751	    5.877	    7.310	    5.848
 1980	     1	    21	    2.669	     22.586	     31.296	     78.560	      0.765	     25.310	    4.335	    5.706	    7.100	    5.669
 1980	     1	    22	    1.653	     23.183	     30.594	     76.091	      1.186	     21.600	    4.483	    6.207	    7.699	    6.236
 1980	     1	    23	    9.154	     22.219	     30.231	     78.014	      1.121	     22.119	    4.130	    5.390	    6.626	    5.313
 1980	     1	    24	    2.262	     22.419	     29.737	     78.539	      0.595	     19.838	    4.238	    5.470	    6.725	    5.359
 1980	     1	    25	    9.294	     22.042	     30.610	     79.505	      0.342	     22.596	    4.035	    4.892	    6.067	    4.793
 1980	     1	    26	    4.310	     22.215	     31.197	     78.699	      0.706	     24.101	    4.308	    5.514	    6.870	    5.493
 1980	     1	    27	    2.762	     22.361	     28.721	     76.204	      0.742	     15.658	    4.717	    5.941	    7.328	    5.905
 1980	     1	    28	    8.961	     21.886	     29.237	     82.398	      0.588	     18.125	    3.370	    3.963	    4.869	    3.756
 1980	     1	    29	    5.805	     22.074	     27.865	     83.717	      0.813	     13.569	    3.621	    4.497	    5.549	    4.329
 1980	     1	    30	   11.535	     22.280	     29.106	     84.583	      1.127	     15.745	    2.936	    3.468	    4.245	    3.193
 1980	     1	    31	   11.292	     22.015	     27.331	     80.933	      1.067	     12.852	    3.415	    4.057	    4.885	    3.771
 1980	     2	     1	   22.159	     22.202	     28.122	     87.681	      1.259	     13.432	    3.156	    3.303	    4.041	    3.009
 1980	     2	     2	   14.034	     22.237	     28.457	     85.099	      0.955	     14.292	    2.766	    3.508	    4.216	    3.181
 1980	     2	     3	    9.817	     21.981	     28.871	     84.781	      1.162	     17.217	    3.135	    3.681	    4.470	    3.409
