CABra ID  	 83
ANA ID    	 27500000
Longitude 	 -62.95    	 dd
Latitude  	 -9.555    	 dd
Area      	 1132.4704 	 km²
Elevation 	 144.9321  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ERA5 dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   15.806	     21.373	     27.475	     87.599	      0.667	     15.567	    2.917	    3.207	    3.953	    2.931
 1980	     1	     2	    7.965	     20.754	     28.729	     83.286	      0.399	     19.683	    3.187	    3.857	    4.778	    3.625
 1980	     1	     3	    5.053	     21.137	     29.170	     80.709	      0.473	     19.827	    3.839	    4.770	    5.928	    4.614
 1980	     1	     4	    6.591	     21.615	     29.361	     81.798	      0.838	     20.713	    3.772	    4.847	    6.002	    4.694
 1980	     1	     5	    8.483	     21.313	     28.230	     80.326	      1.109	     17.412	    4.126	    5.091	    6.274	    4.940
 1980	     1	     6	    9.491	     21.543	     28.559	     84.785	      0.962	     17.058	    3.499	    4.335	    5.299	    4.078
 1980	     1	     7	   10.756	     21.691	     27.722	     83.800	      0.551	     14.480	    3.474	    4.273	    5.217	    4.021
 1980	     1	     8	   14.248	     21.889	     28.673	     85.517	      0.593	     17.720	    3.091	    3.623	    4.486	    3.390
 1980	     1	     9	    8.221	     21.945	     27.601	     84.101	      0.915	     14.828	    3.422	    4.369	    5.420	    4.207
 1980	     1	    10	   16.975	     21.527	     26.236	     85.784	      1.007	     11.139	    3.291	    3.718	    4.588	    3.478
 1980	     1	    11	   16.553	     21.259	     24.542	     89.062	      1.015	      7.156	    2.685	    2.889	    3.541	    2.560
 1980	     1	    12	   22.655	     21.191	     26.632	     92.369	      1.097	     12.153	    1.920	    1.982	    2.439	    1.604
 1980	     1	    13	   13.587	     21.225	     27.857	     87.611	      1.054	     14.845	    2.835	    3.133	    3.821	    2.796
 1980	     1	    14	    7.429	     21.595	     27.219	     83.683	      1.157	     12.636	    3.118	    3.784	    4.581	    3.461
 1980	     1	    15	   16.351	     21.567	     27.018	     87.362	      1.346	     12.575	    2.904	    3.280	    3.967	    2.938
 1980	     1	    16	   16.541	     21.556	     26.081	     87.915	      1.128	      9.818	    3.008	    3.272	    3.949	    2.923
 1980	     1	    17	   20.313	     21.568	     26.784	     89.320	      0.956	     12.348	    2.416	    2.615	    3.181	    2.259
 1980	     1	    18	   10.816	     21.059	     29.411	     87.484	      0.692	     20.709	    2.652	    3.164	    3.882	    2.859
 1980	     1	    19	    3.527	     21.413	     30.423	     81.514	      0.410	     23.600	    4.074	    5.071	    6.263	    4.929
 1980	     1	    20	    5.875	     21.686	     29.868	     79.703	      0.459	     21.313	    4.750	    5.721	    7.117	    5.681
 1980	     1	    21	    5.758	     22.354	     31.206	     80.589	      0.650	     24.131	    4.164	    5.205	    6.465	    5.120
 1980	     1	    22	    2.219	     22.762	     30.118	     77.327	      0.933	     20.679	    4.491	    5.933	    7.340	    5.925
 1980	     1	    23	    8.553	     21.978	     29.897	     80.294	      0.851	     20.940	    4.126	    5.135	    6.332	    5.043
 1980	     1	    24	    4.906	     22.157	     29.535	     81.131	      0.544	     19.230	    4.161	    5.164	    6.364	    5.043
 1980	     1	    25	    9.456	     21.972	     30.425	     81.432	      0.450	     21.921	    4.004	    4.739	    5.877	    4.626
 1980	     1	    26	    5.237	     22.250	     30.775	     80.056	      0.590	     22.364	    4.269	    5.368	    6.664	    5.315
 1980	     1	    27	    4.404	     22.092	     28.182	     78.112	      0.604	     14.386	    4.404	    5.513	    6.814	    5.459
 1980	     1	    28	   13.722	     21.910	     28.739	     84.711	      0.680	     16.257	    3.121	    3.649	    4.496	    3.420
 1980	     1	    29	    8.019	     22.136	     27.781	     84.943	      0.820	     13.286	    3.366	    4.079	    5.013	    3.867
 1980	     1	    30	   12.481	     22.189	     28.959	     85.920	      0.954	     15.944	    3.008	    3.404	    4.165	    3.131
 1980	     1	    31	   10.737	     22.179	     27.198	     81.936	      1.142	     12.383	    3.474	    4.063	    4.933	    3.811
 1980	     2	     1	   16.927	     22.129	     28.204	     88.164	      1.094	     13.631	    2.912	    3.194	    3.907	    2.902
 1980	     2	     2	   11.705	     22.272	     29.113	     84.626	      0.757	     16.512	    2.962	    3.540	    4.270	    3.231
 1980	     2	     3	    6.988	     22.058	     28.699	     83.497	      1.086	     16.352	    3.512	    4.163	    5.104	    3.965
 1980	     2	     4	   11.171	     22.266	     28.384	     84.482	      1.089	     14.746	    3.530	    4.132	    5.039	    3.888
 1980	     2	     5	   13.955	     22.087	     29.172	     85.064	      0.999	     16.820	    3.029	    3.776	    4.586	    3.503
 1980	     2	     6	   12.912	     22.356	     28.446	     83.252	      0.575	     14.361	    3.473	    4.278	    5.193	    4.034
 1980	     2	     7	   13.915	     22.068	     27.457	     85.668	      0.525	     11.999	    3.007	    3.636	    4.487	    3.421
 1980	     2	     8	   19.959	     21.952	     27.534	     87.783	      0.909	     12.715	    2.734	    3.085	    3.811	    2.824
 1980	     2	     9	   13.922	     22.061	     27.943	     87.906	      0.971	     14.208	    2.875	    3.280	    3.998	    2.981
 1980	     2	    10	   11.521	     21.856	     28.144	     86.568	      1.035	     15.285	    3.167	    3.617	    4.421	    3.351
 1980	     2	    11	   10.795	     21.993	     27.608	     85.517	      1.257	     13.131	    3.456	    3.869	    4.723	    3.605
 1980	     2	    12	   14.120	     21.940	     27.187	     86.187	      0.630	     11.953	    3.357	    3.402	    4.114	    3.086
 1980	     2	    13	   16.858	     21.896	     26.298	     88.334	      0.848	      9.205	    2.833	    3.071	    3.785	    2.800
 1980	     2	    14	   27.614	     21.508	     24.946	     90.093	      1.635	      7.546	    2.521	    2.474	    3.020	    2.137
 1980	     2	    15	   46.525	     20.930	     23.986	     89.567	      1.888	      6.081	    2.636	    2.088	    2.554	    1.715
 1980	     2	    16	   42.703	     20.724	     26.267	     91.045	      1.276	     11.541	    2.469	    1.790	    2.146	    1.353
 1980	     2	    17	   11.792	     21.392	     27.136	     88.538	      1.545	     12.587	    2.864	    3.038	    3.643	    2.649
 1980	     2	    18	   12.599	     21.242	     27.350	     87.074	      1.409	     13.750	    3.069	    3.316	    3.943	    2.917
 1980	     2	    19	   13.229	     21.147	     28.825	     86.988	      0.793	     17.429	    3.142	    3.550	    4.263	    3.187
 1980	     2	    20	    4.766	     21.221	     29.232	     82.816	      0.453	     18.167	    3.355	    4.358	    5.310	    4.106
 1980	     2	    21	    5.909	     21.721	     27.093	     83.806	      0.933	     12.419	    3.691	    4.480	    5.531	    4.306
 1980	     2	    22	   15.456	     21.722	     27.181	     87.304	      1.135	     12.434	    2.753	    3.191	    3.897	    2.884
 1980	     2	    23	   16.231	     21.389	     27.928	     85.554	      0.820	     16.051	    2.928	    3.219	    3.906	    2.895
 1980	     2	    24	    8.115	     21.580	     28.661	     84.903	      0.642	     16.670	    3.237	    3.989	    4.920	    3.772
 1980	     2	    25	    7.784	     21.529	     27.906	     81.337	      0.955	     15.355	    3.407	    4.151	    5.109	    3.948
 1980	     2	    26	    9.070	     21.712	     28.275	     83.930	      0.830	     15.489	    3.269	    3.861	    4.722	    3.601
 1980	     2	    27	   12.596	     21.450	     27.619	     83.200	      0.880	     14.466	    3.316	    3.902	    4.775	    3.661
 1980	     2	    28	   11.817	     21.557	     28.059	     86.256	      0.878	     15.716	    3.267	    3.649	    4.464	    3.372
 1980	     2	    29	   11.232	     20.984	     29.085	     83.965	      0.827	     19.795	    3.340	    3.944	    4.829	    3.694
 1980	     3	     1	    7.074	     20.606	     29.273	     81.910	      0.871	     22.318	    3.868	    4.874	    5.972	    4.676
 1980	     3	     2	    7.371	     20.846	     29.340	     79.580	      0.929	     20.889	    4.300	    5.422	    6.661	    5.254
 1980	     3	     3	    3.373	     20.923	     28.381	     79.157	      0.723	     17.897	    3.968	    5.141	    6.271	    4.930
 1980	     3	     4	    9.112	     20.925	     29.025	     84.542	      0.739	     19.595	    3.562	    4.405	    5.409	    4.179
 1980	     3	     5	    6.284	     21.176	     27.019	     81.119	      0.974	     14.554	    3.711	    4.812	    5.906	    4.616
 1980	     3	     6	   11.336	     21.261	     26.968	     85.685	      0.879	     12.920	    2.974	    3.641	    4.473	    3.363
 1980	     3	     7	   13.638	     20.959	     27.928	     86.532	      0.710	     16.173	    2.842	    3.296	    4.026	    2.988
 1980	     3	     8	    6.375	     21.263	     29.569	     83.444	      0.594	     20.226	    3.314	    4.011	    4.927	    3.763
 1980	     3	     9	    4.697	     21.447	     29.330	     81.191	      0.559	     19.000	    3.879	    4.958	    6.107	    4.813
 1980	     3	    10	    8.932	     21.261	     30.144	     83.164	      0.524	     20.660	    3.663	    4.678	    5.768	    4.523
 1980	     3	    11	    3.838	     21.141	     31.115	     80.605	      0.299	     23.939	    3.870	    5.078	    6.252	    4.954
 1980	     3	    12	    0.872	     21.707	     30.972	     78.736	      0.470	     23.445	    4.116	    5.791	    7.204	    5.790
 1980	     3	    13	    0.970	     21.948	     29.696	     77.551	      0.417	     19.309	    4.056	    5.719	    7.081	    5.699
 1980	     3	    14	    6.752	     22.169	     29.340	     81.303	      0.481	     17.352	    3.633	    4.729	    5.876	    4.641
 1980	     3	    15	    9.448	     21.994	     29.151	     81.925	      0.467	     16.459	    3.482	    4.300	    5.320	    4.165
 1980	     3	    16	    9.001	     21.876	     29.258	     82.879	      0.710	     17.630	    3.428	    4.097	    5.056	    3.929
 1980	     3	    17	    7.552	     21.823	     29.389	     81.102	      0.698	     17.424	    3.445	    4.392	    5.388	    4.214
 1980	     3	    18	    7.631	     21.938	     30.713	     81.924	      0.861	     21.355	    3.471	    4.367	    5.334	    4.172
