CABra ID  	 95
ANA ID    	 32740000
Longitude 	 -62.66    	 dd
Latitude  	 -7.63     	 dd
Area      	 801.3668  	 km²
Elevation 	 80.4694   	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ERA5 dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    5.388	     22.205	     31.839	     82.871	      1.862	     22.390	    2.675	    4.344	    5.155	    4.088
 1980	     1	     2	    0.467	     23.607	     29.502	     73.430	      1.614	     15.106	    3.072	    5.852	    6.772	    5.528
 1980	     1	     3	    9.800	     23.149	     28.374	     80.951	      1.720	     12.556	    2.315	    3.908	    4.680	    3.690
 1980	     1	     4	    2.433	     22.747	     29.840	     84.292	      1.424	     13.943	    1.705	    3.307	    3.936	    3.014
 1980	     1	     5	   12.839	     22.498	     29.073	     81.127	      0.972	     10.962	    2.083	    3.758	    4.340	    3.386
 1980	     1	     6	    3.472	     22.523	     28.966	     83.786	      0.967	     15.369	    3.035	    2.999	    3.491	    2.632
 1980	     1	     7	    8.510	     22.630	     30.369	     83.986	      0.794	     15.965	    3.225	    3.887	    4.717	    3.686
 1980	     1	     8	    7.690	     22.880	     28.292	     81.826	      0.683	     11.950	    4.003	    4.097	    4.919	    3.896
 1980	     1	     9	   11.731	     22.777	     26.672	     86.452	      0.802	      6.891	    3.935	    3.081	    3.762	    2.856
 1980	     1	    10	    9.884	     21.883	     27.775	     91.850	      0.487	     11.203	    2.044	    1.960	    2.353	    1.615
 1980	     1	    11	    6.485	     22.373	     26.734	     87.511	      0.589	      8.752	    2.983	    2.892	    3.532	    2.631
 1980	     1	    12	   16.414	     21.909	     26.893	     93.894	      0.624	      8.490	    2.371	    2.334	    2.858	    2.042
 1980	     1	    13	   21.542	     22.494	     25.328	     89.168	      0.328	      4.796	    5.099	    2.311	    2.784	    1.974
 1980	     1	    14	   22.884	     21.981	     30.216	     94.201	      0.830	     19.580	    2.834	    1.442	    1.782	    1.102
 1980	     1	    15	    0.710	     22.496	     29.720	     80.336	      1.097	     16.595	    4.805	    4.867	    5.914	    4.734
 1980	     1	    16	    7.319	     22.154	     30.060	     85.272	      1.487	     16.462	    3.821	    4.235	    5.079	    4.014
 1980	     1	    17	    4.115	     22.993	     29.520	     82.232	      1.018	     14.463	    3.565	    4.342	    5.040	    3.981
 1980	     1	    18	    3.730	     22.187	     29.305	     81.561	      1.185	     14.175	    3.148	    3.743	    4.489	    3.510
 1980	     1	    19	    9.181	     21.932	     28.371	     82.106	      1.067	     13.365	    3.525	    3.733	    4.385	    3.400
 1980	     1	    20	   12.987	     22.840	     29.466	     87.064	      1.093	     14.213	    3.216	    3.470	    4.138	    3.162
 1980	     1	    21	   12.061	     22.597	     28.972	     85.325	      1.357	     13.179	    3.571	    3.705	    4.414	    3.441
 1980	     1	    22	   10.090	     22.142	     29.492	     85.776	      1.216	     13.762	    3.468	    3.505	    4.111	    3.163
 1980	     1	    23	    3.311	     23.052	     29.279	     84.691	      2.246	     17.253	    3.185	    3.681	    4.273	    3.306
 1980	     1	    24	    2.114	     23.315	     31.332	     83.761	      2.051	     21.544	    3.308	    4.399	    5.269	    4.178
 1980	     1	    25	    3.740	     23.195	     30.581	     79.312	      1.966	     21.108	    3.881	    5.542	    6.559	    5.355
 1980	     1	    26	    4.221	     22.802	     31.414	     80.114	      1.665	     20.665	    4.024	    5.325	    6.404	    5.196
 1980	     1	    27	    2.727	     23.423	     29.765	     78.438	      1.605	     18.173	    3.705	    5.360	    6.292	    5.112
 1980	     1	    28	    3.343	     22.719	     29.269	     82.725	      1.035	     13.893	    3.245	    4.568	    5.554	    4.444
 1980	     1	    29	   12.757	     22.234	     29.717	     83.346	      0.977	     15.764	    3.060	    3.618	    4.320	    3.351
 1980	     1	    30	    9.603	     22.934	     30.411	     84.025	      0.954	     16.725	    3.677	    4.056	    4.841	    3.801
 1980	     1	    31	    5.270	     23.043	     28.911	     83.091	      0.946	     10.837	    3.740	    4.286	    5.147	    4.097
 1980	     2	     1	    5.480	     22.616	     29.496	     84.087	      0.910	     16.182	    2.391	    2.932	    3.465	    2.613
 1980	     2	     2	    3.391	     22.761	     29.225	     82.437	      1.161	     14.573	    3.965	    4.095	    4.964	    3.909
 1980	     2	     3	   10.173	     22.829	     29.839	     83.918	      1.552	     19.650	    3.370	    3.772	    4.511	    3.515
 1980	     2	     4	    4.993	     22.763	     28.510	     83.904	      0.945	     12.238	    4.423	    4.908	    5.956	    4.777
 1980	     2	     5	   22.154	     22.349	     29.730	     85.925	      0.953	     15.366	    3.886	    3.199	    3.847	    2.928
 1980	     2	     6	   12.043	     22.523	     29.117	     81.642	      1.399	     14.487	    3.733	    3.966	    4.735	    3.710
 1980	     2	     7	   14.007	     22.546	     28.582	     83.371	      1.066	     12.852	    4.050	    3.792	    4.480	    3.481
 1980	     2	     8	   10.011	     22.670	     28.654	     85.591	      1.201	     13.385	    3.421	    3.360	    4.016	    3.070
 1980	     2	     9	   13.993	     22.645	     27.908	     84.690	      1.110	     11.210	    4.028	    3.484	    4.168	    3.204
 1980	     2	    10	   26.111	     22.646	     26.335	     86.536	      1.247	      7.682	    5.853	    2.968	    3.553	    2.660
 1980	     2	    11	   29.094	     22.243	     28.220	     90.271	      0.928	     10.389	    2.463	    2.141	    2.570	    1.790
 1980	     2	    12	   11.445	     22.115	     28.816	     86.576	      1.199	     12.022	    3.135	    2.822	    3.325	    2.464
 1980	     2	    13	    6.189	     22.538	     27.843	     85.067	      1.150	      8.638	    3.560	    3.261	    3.781	    2.865
 1980	     2	    14	   20.906	     22.363	     23.860	     88.024	      1.094	      3.057	    4.884	    2.462	    2.841	    2.046
 1980	     2	    15	  150.179	     22.408	     27.762	     98.003	      0.860	     11.706	    3.227	    1.058	    1.322	    0.689
 1980	     2	    16	    8.880	     22.079	     28.312	     86.011	      0.747	     12.410	    3.245	    3.036	    3.686	    2.766
 1980	     2	    17	    8.751	     22.352	     26.332	     86.074	      0.676	      7.671	    5.102	    3.217	    3.881	    2.939
 1980	     2	    18	   23.979	     22.493	     25.291	     89.031	      0.785	      4.319	    4.423	    2.105	    2.565	    1.780
 1980	     2	    19	   19.516	     22.174	     29.137	     90.453	      0.894	     16.750	    2.247	    1.376	    1.656	    0.992
 1980	     2	    20	    9.461	     22.379	     27.773	     84.742	      1.176	     11.404	    5.168	    4.195	    5.105	    4.009
 1980	     2	    21	    8.620	     21.938	     26.211	     86.645	      0.626	      8.357	    5.486	    3.018	    3.601	    2.693
 1980	     2	    22	   13.142	     22.068	     27.752	     92.115	      0.368	     11.953	    2.788	    2.248	    2.747	    1.927
 1980	     2	    23	   16.714	     22.191	     27.860	     87.220	      0.337	     13.838	    3.842	    3.032	    3.748	    2.814
 1980	     2	    24	   31.948	     22.530	     25.733	     87.211	      0.638	      7.778	    4.277	    3.429	    4.270	    3.264
 1980	     2	    25	   54.743	     22.007	     28.726	     92.680	      0.627	     15.251	    2.125	    2.087	    2.593	    1.798
 1980	     2	    26	   17.077	     21.879	     27.795	     86.707	      0.352	     11.522	    4.087	    3.816	    4.674	    3.626
 1980	     2	    27	   18.172	     22.187	     28.486	     89.606	      0.611	     12.893	    2.793	    2.941	    3.626	    2.706
 1980	     2	    28	   18.613	     22.481	     24.109	     85.709	      0.967	      4.919	    3.496	    3.302	    4.021	    3.064
 1980	     2	    29	   65.221	     21.769	     28.040	     95.412	      0.438	     14.696	    2.065	    1.427	    1.817	    1.113
 1980	     3	     1	   10.417	     21.816	     29.812	     84.651	      0.144	     17.142	    4.536	    3.635	    4.500	    3.457
 1980	     3	     2	   18.198	     21.613	     29.148	     82.067	      0.922	     15.652	    4.754	    4.180	    5.222	    4.118
 1980	     3	     3	   13.759	     22.359	     28.303	     85.177	      1.076	     11.668	    3.637	    3.998	    4.785	    3.723
 1980	     3	     4	   14.589	     21.841	     29.252	     85.597	      0.133	     16.513	    3.090	    3.108	    3.681	    2.772
 1980	     3	     5	   27.595	     22.519	     24.021	     85.080	      0.565	      2.820	    4.357	    4.021	    5.033	    3.942
 1980	     3	     6	  142.229	     22.073	     26.331	     95.685	      0.257	      8.952	    2.309	    1.007	    1.258	    0.638
 1980	     3	     7	   19.343	     21.421	     29.309	     93.605	      0.671	     16.526	    2.769	    2.336	    2.910	    2.071
 1980	     3	     8	   13.339	     22.238	     29.279	     84.365	      0.505	     14.082	    3.980	    4.141	    5.026	    3.929
 1980	     3	     9	    6.189	     22.173	     28.266	     83.630	      1.150	     12.218	    3.446	    3.578	    4.366	    3.379
 1980	     3	    10	   21.262	     21.765	     28.825	     88.308	      1.146	     14.098	    3.151	    3.236	    3.830	    2.896
