CABra ID  	 96
ANA ID    	 32830000
Longitude 	 -61.768   	 dd
Latitude  	 -6.358    	 dd
Area      	 26424.3359	 km²
Elevation 	 81.181    	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ERA5 dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    6.351	     22.575	     31.135	     82.810	      1.409	     20.654	    3.215	    4.247	    5.064	    4.012
 1980	     1	     2	    0.761	     23.273	     29.068	     75.866	      1.265	     14.852	    3.059	    5.281	    6.270	    5.080
 1980	     1	     3	    8.899	     22.910	     28.379	     81.672	      1.163	     12.276	    2.248	    3.790	    4.595	    3.597
 1980	     1	     4	    4.463	     22.723	     29.161	     87.327	      1.120	     13.455	    1.879	    3.211	    3.857	    2.939
 1980	     1	     5	   13.892	     22.119	     28.619	     83.830	      0.836	      9.757	    1.908	    3.534	    4.194	    3.242
 1980	     1	     6	    6.673	     21.943	     29.647	     86.789	      0.621	     17.217	    2.360	    2.709	    3.148	    2.320
 1980	     1	     7	    6.228	     22.380	     30.411	     84.684	      0.417	     15.669	    2.576	    4.288	    5.236	    4.134
 1980	     1	     8	   12.460	     22.376	     28.301	     82.529	      0.272	     11.999	    4.185	    3.952	    4.833	    3.814
 1980	     1	     9	   12.537	     22.279	     26.153	     87.971	      0.745	      7.365	    4.276	    3.042	    3.770	    2.852
 1980	     1	    10	   19.316	     21.969	     26.590	     94.413	      0.226	      9.457	    2.127	    2.042	    2.479	    1.705
 1980	     1	    11	   11.768	     22.014	     26.994	     91.689	      0.462	     10.326	    2.924	    2.444	    3.045	    2.192
 1980	     1	    12	   15.432	     21.960	     27.388	     92.857	      0.801	     10.138	    2.832	    2.667	    3.290	    2.410
 1980	     1	    13	   20.271	     22.211	     24.686	     90.286	      0.247	      4.786	    4.372	    2.703	    3.241	    2.373
 1980	     1	    14	   63.468	     21.836	     29.945	     96.213	      0.711	     17.572	    3.214	    1.424	    1.780	    1.087
 1980	     1	    15	    2.906	     22.047	     30.385	     81.789	      0.888	     19.916	    4.816	    4.407	    5.342	    4.229
 1980	     1	    16	    6.985	     22.453	     30.855	     83.863	      1.229	     16.603	    3.558	    4.967	    6.020	    4.829
 1980	     1	    17	    8.317	     22.543	     28.892	     80.449	      0.830	     13.726	    3.342	    4.392	    5.111	    4.066
 1980	     1	    18	    8.193	     21.702	     29.063	     83.853	      0.983	     14.338	    3.504	    3.527	    4.263	    3.290
 1980	     1	    19	    8.056	     21.366	     28.647	     83.213	      0.839	     14.379	    3.736	    3.730	    4.418	    3.411
 1980	     1	    20	   17.619	     22.363	     29.848	     87.924	      0.901	     14.343	    3.414	    3.685	    4.413	    3.390
 1980	     1	    21	    9.879	     22.180	     29.636	     84.572	      1.087	     15.618	    3.640	    3.755	    4.451	    3.470
 1980	     1	    22	   11.962	     22.100	     29.509	     85.317	      0.987	     13.784	    3.735	    4.044	    4.799	    3.760
 1980	     1	    23	    5.075	     22.552	     30.115	     84.601	      1.826	     17.743	    3.261	    3.641	    4.282	    3.311
 1980	     1	    24	    4.821	     22.939	     31.576	     82.614	      2.027	     22.964	    3.231	    4.632	    5.418	    4.313
 1980	     1	    25	    1.147	     23.334	     31.324	     76.124	      1.894	     22.343	    4.014	    5.895	    6.965	    5.699
 1980	     1	    26	    2.428	     22.785	     31.406	     77.834	      1.455	     21.008	    3.947	    5.675	    6.793	    5.554
 1980	     1	    27	    2.712	     23.168	     29.975	     78.039	      1.252	     17.215	    3.619	    5.391	    6.393	    5.195
 1980	     1	    28	    4.807	     22.433	     29.499	     81.765	      0.673	     13.784	    3.186	    4.381	    5.284	    4.207
 1980	     1	    29	   11.000	     22.057	     30.464	     83.682	      0.763	     18.393	    3.435	    3.559	    4.290	    3.323
 1980	     1	    30	    5.628	     22.658	     30.292	     83.425	      0.548	     16.963	    4.214	    4.631	    5.598	    4.464
 1980	     1	    31	    9.776	     23.146	     28.852	     84.745	      0.709	     12.142	    3.787	    4.254	    5.207	    4.137
 1980	     2	     1	   14.136	     22.100	     29.740	     84.889	      0.610	     16.540	    3.061	    3.157	    3.834	    2.929
 1980	     2	     2	    2.768	     23.063	     29.854	     83.036	      0.889	     15.990	    4.102	    4.151	    5.060	    3.983
 1980	     2	     3	    5.595	     23.123	     30.399	     80.774	      1.368	     18.949	    3.845	    4.074	    4.934	    3.899
 1980	     2	     4	    4.222	     22.772	     28.519	     81.296	      0.697	     12.270	    4.292	    4.803	    5.787	    4.651
 1980	     2	     5	   30.849	     22.374	     30.763	     87.609	      0.593	     17.570	    3.442	    3.172	    3.859	    2.936
 1980	     2	     6	   11.540	     22.508	     29.268	     80.444	      1.078	     14.478	    4.160	    4.432	    5.385	    4.294
 1980	     2	     7	   13.045	     22.237	     28.698	     83.264	      0.909	     13.557	    3.786	    3.759	    4.482	    3.484
 1980	     2	     8	   12.948	     22.462	     30.608	     87.296	      0.926	     16.305	    3.353	    3.504	    4.209	    3.231
 1980	     2	     9	   12.479	     22.601	     27.460	     81.066	      0.871	     11.802	    4.419	    4.234	    5.026	    3.983
 1980	     2	    10	   37.085	     22.607	     24.996	     89.436	      0.722	      5.004	    4.663	    3.030	    3.712	    2.785
 1980	     2	    11	   91.101	     21.830	     27.443	     95.439	      0.662	      9.845	    2.132	    1.493	    1.842	    1.147
 1980	     2	    12	    8.167	     22.000	     29.188	     90.676	      0.882	     12.288	    2.981	    2.632	    3.163	    2.302
 1980	     2	    13	    8.598	     22.264	     26.819	     85.129	      1.034	      8.078	    3.655	    3.289	    3.861	    2.937
 1980	     2	    14	   19.557	     22.199	     23.681	     92.912	      0.967	      3.734	    3.297	    2.267	    2.679	    1.884
 1980	     2	    15	   49.646	     22.161	     28.296	     98.741	      0.350	     12.459	    3.092	    1.187	    1.503	    0.838
 1980	     2	    16	   12.046	     22.017	     28.736	     84.362	      0.464	     14.024	    3.716	    3.158	    3.898	    2.953
 1980	     2	    17	   16.086	     22.430	     24.849	     87.005	      0.294	      6.459	    4.081	    3.532	    4.336	    3.335
 1980	     2	    18	   59.309	     22.072	     27.013	     95.095	      0.805	      9.626	    2.195	    1.776	    2.233	    1.475
 1980	     2	    19	    9.205	     21.945	     29.327	     89.588	      0.840	     15.953	    2.248	    2.573	    3.104	    2.249
 1980	     2	    20	   11.431	     22.235	     28.030	     85.223	      0.857	     12.308	    4.112	    4.048	    4.884	    3.817
 1980	     2	    21	   12.235	     21.870	     26.288	     88.288	      0.597	      9.012	    3.416	    3.187	    3.854	    2.911
 1980	     2	    22	   21.298	     21.836	     26.433	     93.619	      0.399	      9.917	    3.308	    2.385	    2.926	    2.080
 1980	     2	    23	   25.770	     22.007	     27.850	     92.352	      0.201	     13.316	    3.089	    2.560	    3.172	    2.292
 1980	     2	    24	   21.979	     22.065	     27.573	     88.341	      0.764	     12.271	    4.384	    3.301	    4.124	    3.134
 1980	     2	    25	   25.308	     21.703	     27.966	     89.146	      0.302	     14.837	    2.541	    3.144	    3.835	    2.883
 1980	     2	    26	   23.051	     21.684	     27.848	     88.580	      0.402	     13.498	    3.710	    3.643	    4.537	    3.484
 1980	     2	    27	   11.443	     21.976	     28.810	     89.742	      0.414	     15.032	    3.288	    3.370	    4.167	    3.164
 1980	     2	    28	   15.185	     21.844	     26.773	     85.587	      0.965	     10.220	    4.087	    3.742	    4.617	    3.577
 1980	     2	    29	   20.217	     21.799	     27.983	     89.926	      0.231	     13.079	    2.885	    2.703	    3.260	    2.373
 1980	     3	     1	    8.332	     21.467	     28.915	     86.461	      0.250	     16.763	    4.363	    3.260	    4.057	    3.076
 1980	     3	     2	    6.484	     22.256	     29.491	     85.738	      0.669	     16.976	    4.402	    4.087	    5.085	    3.970
 1980	     3	     3	    5.846	     22.000	     28.195	     84.277	      0.909	     12.954	    4.024	    4.236	    5.182	    4.084
 1980	     3	     4	   14.201	     21.773	     29.414	     87.015	      0.333	     16.064	    3.364	    3.351	    4.030	    3.061
 1980	     3	     5	   22.027	     22.081	     25.017	     86.131	      0.413	      6.194	    3.869	    3.976	    4.912	    3.839
 1980	     3	     6	   47.801	     21.973	     26.654	     96.830	      0.174	     10.011	    3.239	    1.736	    2.161	    1.412
 1980	     3	     7	   16.469	     21.035	     28.772	     93.018	      0.747	     16.631	    2.983	    2.560	    3.201	    2.322
 1980	     3	     8	   10.784	     22.239	     28.884	     87.182	      0.497	     13.377	    4.261	    4.149	    5.031	    3.912
 1980	     3	     9	    7.933	     22.104	     28.769	     86.261	      0.950	     12.382	    3.340	    3.405	    4.164	    3.195
 1980	     3	    10	   16.229	     21.837	     29.418	     88.258	      0.785	     15.294	    3.228	    3.286	    3.883	    2.949
 1980	     3	    11	    8.943	     21.713	     28.863	     86.077	      0.418	     14.124	    2.841	    3.912	    4.699	    3.659
 1980	     3	    12	    7.590	     22.183	     28.158	     88.013	      0.617	     13.995	    3.754	    3.552	    4.359	    3.353
 1980	     3	    13	   16.633	     21.709	     28.346	     88.985	      1.051	     14.679	    3.674	    3.514	    4.320	    3.313
 1980	     3	    14	   12.567	     21.721	     29.841	     88.263	      0.870	     16.073	    3.594	    3.745	    4.501	    3.463
 1980	     3	    15	   13.736	     22.048	     29.712	     84.952	      0.967	     15.184	    4.048	    4.129	    4.922	    3.858
 1980	     3	    16	   14.596	     22.350	     29.390	     83.611	      0.920	     16.494	    3.882	    3.945	    4.679	    3.653
 1980	     3	    17	    5.154	     22.478	     26.715	     83.884	      0.167	      8.748	    4.488	    4.164	    5.045	    3.968
 1980	     3	    18	    6.735	     22.082	     28.041	     92.423	      0.705	     13.052	    3.069	    2.290	    2.863	    2.044
 1980	     3	    19	    4.633	     22.299	     27.255	     88.498	      1.035	     12.034	    3.236	    3.325	    4.055	    3.083
 1980	     3	    20	   21.161	     21.798	     27.223	     91.888	      0.695	      9.869	    3.091	    3.085	    3.765	    2.822
 1980	     3	    21	   11.111	     22.073	     29.703	     90.701	      0.947	     16.143	    2.750	    2.626	    3.165	    2.300
 1980	     3	    22	   12.657	     22.484	     30.618	     85.008	      1.652	     17.347	    3.923	    4.136	    4.946	    3.885
 1980	     3	    23	    5.006	     23.051	     29.733	     81.916	      1.144	     14.699	    4.121	    4.606	    5.318	    4.238
 1980	     3	    24	   14.048	     22.556	     29.903	     82.174	      1.242	     14.752	    3.862	    3.832	    4.564	    3.578
 1980	     3	    25	    8.253	     22.807	     30.184	     83.166	      1.459	     15.630	    3.621	    3.909	    4.571	    3.578
 1980	     3	    26	   13.784	     22.127	     30.414	     83.439	      1.364	     18.453	    3.064	    4.144	    4.830	    3.813
 1980	     3	    27	    3.778	     22.190	     31.199	     83.221	      1.197	     20.757	    4.114	    4.763	    5.613	    4.479
 1980	     3	    28	    5.431	     22.826	     30.500	     80.871	      1.318	     15.566	    5.092	    5.290	    6.290	    5.087
 1980	     3	    29	    7.383	     22.181	     30.694	     81.976	      1.213	     20.078	    2.904	    4.138	    4.818	    3.812
 1980	     3	    30	    6.943	     22.971	     30.579	     83.095	      1.445	     19.103	    3.844	    5.089	    6.081	    4.893
 1980	     3	    31	    5.075	     22.575	     31.323	     82.011	      1.502	     20.678	    3.369	    4.878	    5.827	    4.690
 1980	     4	     1	    3.869	     23.655	     31.546	     78.853	      1.575	     19.053	    3.764	    5.331	    6.285	    5.097
 1980	     4	     2	    6.865	     23.030	     29.724	     78.949	      0.841	     15.608	    3.922	    4.974	    5.862	    4.764
 1980	     4	     3	   11.477	     22.463	     28.055	     83.703	      0.583	     10.911	    3.579	    3.957	    4.816	    3.798
 1980	     4	     4	    8.011	     22.758	     28.523	     88.720	      0.381	     11.839	    3.237	    2.852	    3.466	    2.588
 1980	     4	     5	   20.867	     22.577	     29.125	     89.074	      0.922	     15.461	    3.477	    3.026	    3.733	    2.833
 1980	     4	     6	   17.050	     22.210	     28.719	     87.579	      0.434	     13.563	    4.077	    3.916	    4.750	    3.719
 1980	     4	     7	   19.242	     22.412	     27.457	     88.118	      0.220	     11.193	    3.402	    3.419	    4.204	    3.233
 1980	     4	     8	   10.507	     21.771	     29.395	     90.994	      0.446	     16.790	    3.990	    2.831	    3.534	    2.636
 1980	     4	     9	    8.127	     22.050	     30.391	     86.141	      1.153	     18.711	    3.863	    4.145	    5.102	    4.012
 1980	     4	    10	    4.254	     21.879	     30.595	     80.871	      1.107	     18.015	    4.618	    4.767	    5.675	    4.536
 1980	     4	    11	    4.954	     22.256	     29.210	     81.042	      0.680	     15.008	    4.257	    4.645	    5.479	    4.370
 1980	     4	    12	   12.794	     22.906	     29.961	     87.651	      0.744	     16.235	    3.748	    3.794	    4.614	    3.600
 1980	     4	    13	    4.868	     22.317	     30.241	     84.650	      0.577	     17.883	    3.106	    4.102	    4.991	    3.956
 1980	     4	    14	    8.734	     22.043	     30.137	     84.049	      0.217	     18.239	    4.196	    4.450	    5.444	    4.342
 1980	     4	    15	    1.756	     22.016	     31.551	     83.173	      1.195	     21.381	    4.497	    4.441	    5.531	    4.409
 1980	     4	    16	    4.874	     22.183	     29.532	     80.225	      1.093	     16.210	    4.583	    5.458	    6.462	    5.250
 1980	     4	    17	   17.576	     22.228	     30.184	     86.095	      1.454	     18.861	    4.583	    4.146	    4.951	    3.898
 1980	     4	    18	    0.989	     22.086	     30.320	     81.631	      1.278	     20.795	    4.483	    4.817	    5.712	    4.573
 1980	     4	    19	    0.637	     23.196	     30.343	     83.074	      1.127	     15.565	    3.640	    5.198	    6.253	    5.040
 1980	     4	    20	    6.140	     22.184	     31.049	     83.861	      0.845	     20.351	    3.731	    4.055	    4.813	    3.822
 1980	     4	    21	    7.267	     23.014	     29.839	     85.003	      1.384	     13.027	    4.608	    5.098	    6.155	    4.979
 1980	     4	    22	    7.536	     22.236	     30.016	     84.377	      1.501	     16.829	    3.494	    3.545	    4.082	    3.174
 1980	     4	    23	    5.013	     23.202	     29.605	     84.515	      0.952	     13.877	    4.887	    4.398	    5.133	    4.071
 1980	     4	    24	    6.230	     22.437	     30.395	     85.515	      0.903	     16.402	    3.558	    3.602	    4.320	    3.379
 1980	     4	    25	    7.245	     22.514	     28.942	     85.962	      1.053	     14.016	    3.774	    4.217	    5.028	    3.995
 1980	     4	    26	   16.641	     22.633	     28.723	     85.510	      0.946	     13.469	    3.749	    3.617	    4.330	    3.360
 1980	     4	    27	    9.200	     21.909	     29.974	     87.861	      0.932	     19.482	    3.340	    3.464	    4.176	    3.226
 1980	     4	    28	    4.858	     22.095	     30.368	     83.115	      1.317	     17.579	    4.392	    4.833	    5.859	    4.694
 1980	     4	    29	    1.300	     22.122	     30.297	     84.038	      0.945	     17.228	    3.546	    4.560	    5.345	    4.263
 1980	     4	    30	    4.667	     22.416	     30.079	     83.991	      1.290	     15.970	    3.847	    4.397	    5.245	    4.176
 1980	     5	     1	    6.167	     22.776	     29.925	     83.452	      1.110	     15.630	    4.608	    4.177	    4.894	    3.875
 1980	     5	     2	    5.684	     22.300	     30.403	     83.976	      0.803	     17.329	    3.812	    4.038	    4.804	    3.801
 1980	     5	     3	   12.627	     22.630	     29.980	     83.523	      0.864	     16.027	    4.030	    4.386	    5.279	    4.214
 1980	     5	     4	   10.519	     22.641	     30.377	     86.255	      1.086	     18.208	    3.987	    4.084	    4.912	    3.894
 1980	     5	     5	    2.619	     22.755	     30.554	     84.068	      1.450	     18.753	    3.989	    4.612	    5.535	    4.444
 1980	     5	     6	    1.552	     22.414	     30.686	     84.330	      1.119	     19.508	    4.136	    4.801	    5.696	    4.592
 1980	     5	     7	    2.326	     21.982	     30.639	     83.186	      0.851	     19.515	    3.473	    4.925	    5.901	    4.765
 1980	     5	     8	    1.452	     22.626	     31.052	     85.394	      1.153	     18.891	    4.684	    4.880	    5.885	    4.741
 1980	     5	     9	    8.079	     22.759	     29.588	     82.252	      1.087	     15.666	    4.545	    4.838	    5.744	    4.645
 1980	     5	    10	    5.429	     23.125	     31.012	     83.923	      1.389	     17.664	    3.111	    4.002	    4.801	    3.794
 1980	     5	    11	    2.602	     22.867	     30.387	     80.916	      1.662	     18.157	    3.577	    4.605	    5.409	    4.365
 1980	     5	    12	    1.322	     23.470	     30.027	     82.991	      1.443	     18.118	    3.468	    4.684	    5.522	    4.443
 1980	     5	    13	    1.576	     22.575	     29.836	     82.389	      0.989	     18.166	    3.430	    4.554	    5.519	    4.446
 1980	     5	    14	    2.136	     22.190	     30.094	     84.800	      0.682	     18.093	    3.228	    4.527	    5.498	    4.403
 1980	     5	    15	    6.652	     21.867	     29.754	     82.680	      1.095	     15.098	    4.762	    4.491	    5.472	    4.379
 1980	     5	    16	    6.923	     22.134	     29.887	     85.700	      1.230	     14.057	    4.049	    3.947	    4.620	    3.627
 1980	     5	    17	    7.242	     21.961	     29.491	     85.023	      0.958	     16.622	    3.544	    3.769	    4.339	    3.393
 1980	     5	    18	    3.008	     22.153	     30.077	     86.471	      1.296	     18.052	    3.034	    4.194	    5.037	    3.985
 1980	     5	    19	    1.570	     23.012	     31.273	     84.352	      1.206	     19.600	    3.657	    4.601	    5.457	    4.367
 1980	     5	    20	    2.944	     22.697	     30.716	     81.743	      1.186	     17.599	    4.321	    4.998	    5.957	    4.852
 1980	     5	    21	    1.242	     23.105	     30.702	     84.346	      1.185	     19.269	    3.109	    4.534	    5.363	    4.314
 1980	     5	    22	    0.611	     22.995	     30.914	     84.531	      1.296	     19.629	    3.396	    4.852	    5.847	    4.745
 1980	     5	    23	    0.973	     23.377	     30.757	     83.115	      1.373	     18.885	    3.393	    4.976	    5.951	    4.839
 1980	     5	    24	    3.444	     22.797	     29.784	     82.167	      1.313	     15.690	    4.159	    4.795	    5.748	    4.667
 1980	     5	    25	    0.954	     22.603	     29.616	     83.481	      1.527	     13.716	    4.030	    4.058	    4.805	    3.811
 1980	     5	    26	    8.184	     22.356	     30.303	     83.526	      0.954	     17.895	    3.868	    3.698	    4.245	    3.317
 1980	     5	    27	    1.276	     22.617	     30.285	     83.764	      0.988	     19.023	    4.515	    4.515	    5.421	    4.350
 1980	     5	    28	    2.484	     21.965	     30.607	     83.760	      0.882	     20.244	    4.037	    4.741	    5.744	    4.637
 1980	     5	    29	    0.767	     22.529	     30.233	     82.651	      1.065	     17.266	    3.592	    5.024	    6.073	    4.916
 1980	     5	    30	    1.302	     22.333	     30.557	     84.664	      1.009	     17.614	    3.469	    4.393	    5.246	    4.202
 1980	     5	    31	    1.923	     22.763	     30.408	     82.836	      1.208	     18.299	    4.118	    4.493	    5.347	    4.293
 1980	     6	     1	    1.692	     22.557	     30.173	     82.071	      1.037	     16.336	    4.155	    4.637	    5.548	    4.474
 1980	     6	     2	    2.701	     22.478	     30.600	     85.094	      0.794	     16.829	    4.173	    4.189	    4.984	    3.974
 1980	     6	     3	    1.020	     22.729	     30.273	     83.913	      0.956	     16.706	    3.993	    4.278	    5.131	    4.110
 1980	     6	     4	    0.454	     23.066	     29.898	     84.420	      1.328	     15.704	    2.936	    4.251	    5.095	    4.077
 1980	     6	     5	    2.470	     22.402	     30.159	     83.399	      1.083	     17.658	    3.744	    4.056	    4.813	    3.830
 1980	     6	     6	    6.395	     22.434	     29.710	     83.174	      1.135	     16.500	    5.120	    4.472	    5.347	    4.287
 1980	     6	     7	    1.185	     23.123	     30.058	     85.331	      0.977	     17.368	    2.969	    4.197	    5.013	    3.987
