CABra ID  	 97
ANA ID    	 33025000
Longitude 	 -61.338   	 dd
Latitude  	 -7.847    	 dd
Area      	 1487.2788 	 km²
Elevation 	 107.8369  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ERA5 dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    3.302	     21.708	     28.585	     85.519	      0.787	     13.820	    3.676	    4.180	    4.977	    3.855
 1980	     1	     2	    7.331	     21.761	     27.429	     84.897	      0.684	     11.007	    2.991	    3.560	    4.291	    3.269
 1980	     1	     3	    6.272	     21.229	     27.288	     89.892	      1.177	     13.671	    1.733	    2.885	    3.497	    2.571
 1980	     1	     4	    8.550	     21.517	     26.505	     91.010	      1.036	      9.849	    2.078	    3.495	    4.213	    3.167
 1980	     1	     5	    6.266	     20.374	     27.598	     89.867	      1.137	     13.632	    2.276	    2.640	    3.165	    2.268
 1980	     1	     6	    8.273	     21.732	     24.615	     89.920	      0.984	      7.142	    3.167	    3.556	    4.190	    3.138
 1980	     1	     7	   23.612	     20.737	     28.615	     96.482	      0.573	     16.746	    1.654	    1.947	    2.423	    1.614
 1980	     1	     8	    9.249	     21.709	     27.390	     88.121	      0.375	     12.563	    4.300	    4.151	    5.076	    3.918
 1980	     1	     9	   13.064	     22.046	     25.039	     89.323	      0.809	      8.912	    3.001	    3.163	    3.923	    2.931
 1980	     1	    10	   21.392	     21.067	     26.489	     96.221	      0.523	     11.399	    2.354	    2.307	    2.905	    2.031
 1980	     1	    11	   16.563	     21.241	     25.043	     92.159	      0.282	      7.390	    2.658	    2.908	    3.580	    2.611
 1980	     1	    12	   15.435	     21.397	     25.403	     96.996	      0.857	      7.943	    2.874	    2.002	    2.489	    1.669
 1980	     1	    13	   19.808	     21.281	     23.652	     93.271	      0.824	      4.586	    2.590	    2.167	    2.639	    1.803
 1980	     1	    14	   14.782	     20.888	     26.856	     94.738	      0.813	     11.760	    1.807	    1.406	    1.736	    1.017
 1980	     1	    15	    2.285	     21.403	     28.499	     87.591	      0.980	     18.009	    2.515	    3.047	    3.680	    2.700
 1980	     1	    16	    7.009	     20.977	     28.558	     85.919	      1.062	     14.295	    3.595	    4.446	    5.443	    4.241
 1980	     1	    17	    5.413	     21.357	     26.701	     87.474	      0.770	     12.285	    2.415	    3.738	    4.406	    3.352
 1980	     1	    18	    8.063	     20.649	     28.400	     88.512	      1.037	     16.890	    3.211	    3.121	    3.829	    2.831
 1980	     1	    19	    3.510	     20.753	     28.433	     83.210	      0.525	     15.452	    4.343	    4.250	    5.108	    3.937
 1980	     1	    20	   13.759	     21.588	     29.111	     87.152	      0.897	     17.391	    3.079	    3.860	    4.717	    3.608
 1980	     1	    21	    4.508	     22.145	     30.051	     86.215	      1.299	     20.689	    4.118	    4.365	    5.296	    4.134
 1980	     1	    22	    4.772	     22.317	     27.236	     82.000	      1.262	     11.361	    3.726	    5.177	    6.269	    5.002
 1980	     1	    23	    5.793	     21.921	     28.927	     87.909	      1.298	     16.038	    3.046	    2.982	    3.603	    2.665
 1980	     1	    24	    2.170	     21.923	     29.296	     87.114	      1.416	     20.138	    3.456	    4.119	    4.923	    3.818
 1980	     1	    25	    2.019	     21.676	     30.390	     84.547	      1.200	     23.430	    3.662	    4.996	    6.081	    4.816
 1980	     1	    26	    1.617	     21.971	     29.636	     82.044	      0.901	     17.758	    4.202	    5.782	    7.038	    5.657
 1980	     1	    27	    8.826	     22.137	     27.577	     83.142	      1.030	     13.580	    3.599	    4.477	    5.426	    4.265
 1980	     1	    28	    8.106	     21.686	     27.300	     88.693	      0.557	     13.023	    3.018	    3.447	    4.218	    3.191
 1980	     1	    29	   12.002	     21.902	     29.395	     89.749	      0.621	     18.324	    3.339	    3.279	    4.050	    3.034
 1980	     1	    30	   16.612	     21.974	     27.199	     85.185	      0.370	     12.296	    4.142	    4.531	    5.576	    4.386
 1980	     1	    31	   22.137	     22.002	     27.090	     91.211	      0.462	     11.606	    3.263	    3.097	    3.854	    2.871
 1980	     2	     1	   14.355	     21.419	     28.270	     90.319	      0.590	     15.249	    2.789	    2.960	    3.664	    2.707
 1980	     2	     2	    6.202	     21.785	     29.571	     87.311	      0.739	     16.223	    3.554	    3.812	    4.677	    3.582
 1980	     2	     3	    3.657	     21.973	     27.301	     83.396	      0.846	     11.140	    3.790	    4.126	    4.988	    3.885
 1980	     2	     4	    8.735	     21.999	     23.783	     90.210	      0.972	      3.307	    3.002	    2.920	    3.538	    2.604
 1980	     2	     5	   30.399	     21.600	     28.786	     97.716	      0.738	     17.206	    2.234	    1.131	    1.399	    0.741
 1980	     2	     6	    8.018	     22.293	     27.537	     83.837	      1.135	     14.374	    3.932	    4.275	    5.238	    4.075
 1980	     2	     7	    7.937	     21.926	     28.537	     87.439	      1.270	     16.576	    3.403	    3.602	    4.441	    3.382
 1980	     2	     8	    6.817	     21.892	     27.372	     84.610	      0.575	     12.104	    4.265	    4.180	    5.065	    3.929
 1980	     2	     9	   10.542	     21.851	     25.231	     89.416	      0.233	      6.983	    3.172	    3.092	    3.803	    2.829
 1980	     2	    10	   20.164	     21.495	     25.427	     94.576	      0.478	      8.901	    2.365	    1.908	    2.385	    1.590
 1980	     2	    11	   20.795	     21.139	     27.876	     95.806	      1.194	     16.706	    2.664	    2.331	    2.901	    2.023
 1980	     2	    12	    6.519	     21.448	     28.090	     86.198	      0.830	     14.942	    3.624	    4.163	    5.062	    3.893
 1980	     2	    13	   19.149	     21.850	     23.193	     88.402	      0.709	      3.216	    4.260	    3.771	    4.590	    3.503
 1980	     2	    14	   83.915	     21.596	     24.516	     99.690	      0.827	      5.754	    1.918	    1.088	    1.377	    0.716
 1980	     2	    15	  105.484	     20.787	     27.257	     94.669	      0.325	     12.228	    3.052	    1.669	    2.051	    1.295
 1980	     2	    16	   13.167	     21.652	     25.711	     89.338	      0.148	      8.714	    3.359	    3.090	    3.814	    2.817
 1980	     2	    17	   20.240	     21.047	     25.308	     91.415	      0.632	      9.256	    2.804	    2.278	    2.855	    1.991
 1980	     2	    18	   19.267	     21.091	     24.551	     94.663	      0.646	      7.080	    3.267	    2.425	    2.992	    2.093
 1980	     2	    19	   19.339	     21.196	     28.609	     96.511	      0.828	     16.813	    2.491	    1.947	    2.402	    1.584
 1980	     2	    20	    9.468	     21.335	     26.014	     85.384	      1.047	      9.564	    4.973	    4.203	    5.113	    3.955
 1980	     2	    21	   18.061	     21.423	     23.937	     94.333	      0.828	      5.413	    2.989	    2.559	    3.085	    2.187
 1980	     2	    22	   17.925	     20.646	     26.356	     97.554	      0.356	     11.964	    4.049	    1.577	    1.958	    1.207
 1980	     2	    23	   15.111	     20.849	     27.376	     92.614	      0.244	     15.187	    3.552	    3.005	    3.725	    2.723
 1980	     2	    24	   24.960	     21.061	     26.603	     88.102	      0.724	     13.440	    3.820	    3.704	    4.626	    3.507
 1980	     2	    25	   12.807	     20.517	     27.331	     90.054	      0.494	     15.224	    3.134	    3.354	    4.136	    3.081
 1980	     2	    26	   15.772	     20.545	     26.571	     88.509	      0.679	     12.901	    4.029	    3.746	    4.625	    3.499
 1980	     2	    27	   12.157	     21.105	     26.679	     92.336	      0.582	     13.383	    4.361	    3.251	    3.979	    2.939
 1980	     2	    28	   14.885	     20.605	     27.293	     89.034	      0.696	     14.391	    7.407	    3.331	    4.125	    3.074
 1980	     2	    29	    4.679	     21.032	     27.652	     87.502	      0.882	     13.137	    3.456	    3.603	    4.399	    3.309
 1980	     3	     1	   13.419	     20.601	     28.141	     88.237	      0.245	     15.903	    3.207	    3.392	    4.074	    3.049
 1980	     3	     2	    7.781	     21.440	     28.976	     85.964	      0.399	     20.808	    4.543	    3.887	    4.834	    3.696
 1980	     3	     3	    1.615	     21.658	     28.275	     84.801	      1.185	     16.647	    4.788	    5.001	    6.240	    4.929
 1980	     3	     4	   15.335	     20.977	     26.933	     83.895	      0.260	     11.451	    4.498	    4.168	    5.070	    3.921
 1980	     3	     5	   10.672	     21.120	     25.959	     89.498	      0.186	      9.596	    3.435	    2.901	    3.600	    2.634
 1980	     3	     6	    9.066	     20.911	     26.801	     92.367	      0.601	     13.329	    4.564	    2.473	    3.087	    2.185
 1980	     3	     7	   11.760	     20.522	     29.061	     89.767	      0.650	     18.819	    3.947	    3.336	    4.106	    3.058
 1980	     3	     8	    6.142	     20.637	     28.554	     83.751	      0.353	     16.977	    4.045	    4.629	    5.657	    4.415
 1980	     3	     9	   13.308	     21.073	     26.318	     88.690	      0.747	     10.675	    2.980	    4.152	    5.137	    3.965
 1980	     3	    10	    9.362	     20.903	     27.888	     92.899	      0.959	     14.894	    2.324	    2.778	    3.383	    2.441
 1980	     3	    11	    4.969	     20.477	     29.810	     89.557	      0.852	     21.082	    3.150	    3.784	    4.555	    3.461
 1980	     3	    12	    2.507	     21.617	     29.412	     84.671	      1.117	     20.732	    3.983	    5.206	    6.306	    4.986
 1980	     3	    13	    2.132	     22.174	     29.723	     84.721	      1.354	     20.762	    3.608	    5.107	    6.238	    4.946
 1980	     3	    14	    3.595	     21.867	     28.416	     81.141	      1.257	     17.514	    3.961	    5.155	    6.278	    5.003
 1980	     3	    15	    5.155	     22.187	     28.767	     85.911	      1.212	     17.874	    3.329	    4.352	    5.317	    4.142
 1980	     3	    16	    6.347	     21.627	     29.368	     83.068	      1.114	     18.789	    3.452	    4.444	    5.437	    4.261
 1980	     3	    17	    2.015	     21.966	     26.510	     82.474	      0.270	      8.743	    3.629	    4.707	    5.693	    4.481
 1980	     3	    18	   19.929	     21.084	     29.189	     91.816	      0.240	     19.953	    3.243	    2.323	    2.878	    2.035
 1980	     3	    19	    2.136	     21.389	     28.587	     81.161	      1.265	     16.627	    4.182	    4.798	    5.991	    4.719
 1980	     3	    20	    7.276	     21.206	     27.812	     85.450	      1.144	     15.987	    3.454	    4.215	    5.060	    3.918
 1980	     3	    21	    9.171	     21.385	     28.113	     86.963	      1.013	     15.264	    3.607	    4.001	    4.858	    3.725
 1980	     3	    22	    6.551	     21.706	     30.150	     87.580	      1.931	     22.381	    3.533	    3.864	    4.671	    3.577
 1980	     3	    23	    2.897	     22.213	     29.918	     82.117	      1.528	     20.066	    4.129	    5.635	    6.727	    5.390
 1980	     3	    24	    2.284	     22.133	     30.230	     81.986	      1.650	     21.818	    4.029	    5.053	    6.085	    4.848
 1980	     3	    25	    2.520	     21.816	     29.937	     81.508	      1.598	     20.734	    4.402	    5.470	    6.587	    5.285
 1980	     3	    26	    3.704	     21.938	     29.768	     83.645	      1.804	     22.419	    4.679	    5.225	    6.258	    4.987
 1980	     3	    27	    0.301	     21.397	     30.311	     81.086	      1.555	     22.251	    4.681	    5.546	    6.729	    5.390
 1980	     3	    28	    0.664	     22.172	     30.090	     79.544	      1.517	     19.935	    4.585	    5.596	    6.681	    5.350
 1980	     3	    29	    2.541	     21.438	     30.678	     81.392	      1.384	     23.104	    3.665	    5.051	    6.049	    4.823
 1980	     3	    30	    0.440	     22.081	     30.445	     81.577	      1.527	     22.645	    4.040	    5.787	    6.936	    5.581
 1980	     3	    31	    0.524	     22.457	     30.131	     79.127	      1.520	     18.494	    3.993	    5.650	    6.823	    5.496
 1980	     4	     1	    1.128	     22.397	     30.530	     83.027	      1.208	     20.946	    3.207	    4.755	    5.651	    4.492
 1980	     4	     2	    4.089	     21.649	     28.770	     81.805	      0.855	     15.168	    3.823	    5.253	    6.356	    5.107
 1980	     4	     3	    6.270	     21.845	     26.595	     86.283	      0.508	      9.762	    3.210	    3.862	    4.660	    3.593
 1980	     4	     4	    6.242	     21.511	     28.546	     93.018	      0.197	     14.964	    3.686	    2.550	    3.141	    2.259
 1980	     4	     5	   11.303	     21.257	     28.811	     87.993	      0.598	     17.243	    3.798	    3.685	    4.594	    3.530
 1980	     4	     6	    2.003	     22.228	     28.237	     86.369	      0.976	     15.082	    4.602	    4.256	    5.223	    4.068
 1980	     4	     7	    3.996	     21.692	     27.615	     85.409	      0.844	     14.222	    3.691	    3.791	    4.637	    3.575
 1980	     4	     8	    8.632	     21.339	     28.370	     87.210	      0.218	     15.848	    4.146	    3.569	    4.372	    3.326
